"PMID","PMCID","DOI","Version","MID","IsCurrent","IsLive","ReleaseDate","Msg"
"7739539","PMC230488","10.1128/mcb.15.5.2582","PMC230488.1","",1,1,"",""
"8336713","PMC360101","10.1128/mcb.13.8.4753","PMC360101.1","",1,1,"",""
"17074803","PMC1800793","10.1128/MCB.00490-06","PMC1800793.1","",1,1,"",""
"14654692","PMC291873","10.1093/nar/gkg934","PMC291873.1","",1,1,"",""
"22307086","PMC3321180","10.1038/emboj.2012.14","PMC3321180.1","",1,1,"",""
"11463364","PMC1222023","10.1042/0264-6021:3570899","PMC1222023.1","",1,1,"",""
"22926980","PMC3534825","10.1002/dvg.22342","PMC3534825.1","NIHMS407043",1,1,"",""
"10585876","PMC1220711","","PMC1220711.1","",1,1,"",""
"24718403","PMC4001340","","PMC4001340.1","",1,1,"",""
"10207099","PMC84202","10.1128/mcb.19.5.3760","PMC84202.1","",1,1,"",""
"9421459","PMC508533","10.1172/JCI1411","PMC508533.1","",1,1,"",""
"18279468","PMC2432486","10.1111/j.1365-2125.2007.03091.x","PMC2432486.1","",1,1,"",""
"19401220","PMC2787411","10.1016/j.neuroscience.2009.04.055","PMC2787411.1","NIHMS130577",1,1,"",""
"29049185","PMC5662351","10.1097/MD.0000000000007861","PMC5662351.1","",1,1,"",""
"29383203","PMC5777815","10.18632/oncotarget.23705","PMC5777815.1","",1,1,"",""
"20473689","PMC9003865","10.1007/s00439-010-0834-3","PMC9003865.1","NIHMS1766415",1,1,"",""
"20838486","PMC2927797","10.4103/0971-6866.64938","PMC2927797.1","",1,1,"",""
"22476228","PMC8753655","10.1038/hr.2012.38","PMC8753655.1","NIHMS1766420",1,1,"",""
"23509723","PMC3591139","10.1155/2013/451094","PMC3591139.1","",1,1,"",""
"23691048","PMC3655193","10.1371/journal.pone.0063455","PMC3655193.1","",1,1,"",""
"26042478","PMC4467608","10.12659/MSM.893191","PMC4467608.1","",1,1,"",""
"27686058","PMC5043233","10.1038/srep34262","PMC5043233.1","",1,1,"",""
"29862265","PMC5976920","10.1155/2018/3465929","PMC5976920.1","",1,1,"",""
"29925526","PMC6073210","10.15252/embr.201745607","PMC6073210.1","",1,1,"",""
"30062972","PMC6635650","10.2174/1573402114666180731111453","PMC6635650.1","",1,1,"",""
"31275642","PMC6589276","10.1155/2019/7135604","PMC6589276.1","",1,1,"",""
"31805646","PMC6926644","10.3390/ijerph16234829","PMC6926644.1","",1,1,"",""
"32440785","PMC8004765","10.1007/s11883-020-0831-5","PMC8004765.1","NIHMS1680243",1,1,"",""
"33649520","PMC8159753","10.1038/s41397-021-00214-y","PMC8159753.1","",1,1,"",""
"34055401","PMC8112959","10.1155/2021/5596974","PMC8112959.1","",1,1,"",""
"34859687","PMC8799388","10.1152/physiolgenomics.00119.2021","PMC8799388.1","",1,1,"",""
"27616475","PMC5096035","10.1002/ajmg.a.37883","PMC5096035.1","",1,1,"",""
"35999587","PMC9396768","10.1186/s13098-022-00893-y","PMC9396768.1","",1,1,"",""
"36035164","PMC9412030","10.3389/fgene.2022.931803","PMC9412030.1","",1,1,"",""
"32971583","","","","","",0,"","invalid article id"
"12052841","","","","","",0,"","invalid article id"
"11212213","","","","","",0,"","invalid article id"
"17465710","","","","","",0,"","invalid article id"
"29550988","","","","","",0,"","invalid article id"
"25567773","","","","","",0,"","invalid article id"
"10030381","","","","","",0,"","invalid article id"
"19826910","","","","","",0,"","invalid article id"
"35945402","","","","","",0,"","invalid article id"
"10604195","","","","","",0,"","invalid article id"
"7959767","","","","","",0,"","invalid article id"
"19932681","","","","","",0,"","invalid article id"
"9786926","","","","","",0,"","invalid article id"
"27340988","","","","","",0,"","invalid article id"
"8353488","","","","","",0,"","invalid article id"
"20712239","","","","","",0,"","invalid article id"
"22934933","","","","","",0,"","invalid article id"
"11309661","","","","","",0,"","invalid article id"
"23985264","","","","","",0,"","invalid article id"
"31768849","","","","","",0,"","invalid article id"
"17051589","","","","","",0,"","invalid article id"
"28040068","","","","","",0,"","invalid article id"
"9121491","","","","","",0,"","invalid article id"
"17825147","","","","","",0,"","invalid article id"
"11090277","","","","","",0,"","invalid article id"
"21339657","","","","","",0,"","invalid article id"
"22117679","","","","","",0,"","invalid article id"
"26535708","","","","","",0,"","invalid article id"
"16116479","","","","","",0,"","invalid article id"
"10944850","","","","","",0,"","invalid article id"
"11279217","","","","","",0,"","invalid article id"
"21194526","","","","","",0,"","invalid article id"
"15466874","","","","","",0,"","invalid article id"
"15716695","","","","","",0,"","invalid article id"
"25035152","","","","","",0,"","invalid article id"
"16565244","","","","","",0,"","invalid article id"
"15474463","","","","","",0,"","invalid article id"
"23863317","","","","","",0,"","invalid article id"
"15896329","","","","","",0,"","invalid article id"
"28686109","","","","","",0,"","invalid article id"
"10361996","","","","","",0,"","invalid article id"
"8654925","","","","","",0,"","invalid article id"
"9054427","","","","","",0,"","invalid article id"
"35277845","","","","","",0,"","invalid article id"
"17189961","","","","","",0,"","invalid article id"
"29527980","","","","","",0,"","invalid article id"
"12885793","","","","","",0,"","invalid article id"
"11278421","","","","","",0,"","invalid article id"
"27396594","","","","","",0,"","invalid article id"
"15699449","","","","","",0,"","invalid article id"
"26387843","","","","","",0,"","invalid article id"
"15711575","","","","","",0,"","invalid article id"
"10429360","","","","","",0,"","invalid article id"
"8841947","","","","","",0,"","invalid article id"
"15824464","","","","","",0,"","invalid article id"
"23540412","","","","","",0,"","invalid article id"
"22810272","","","","","",0,"","invalid article id"
"12924618","","","","","",0,"","invalid article id"
"15174896","","","","","",0,"","invalid article id"
"16520310","","","","","",0,"","invalid article id"
"20872252","","","","","",0,"","invalid article id"
"17003363","","","","","",0,"","invalid article id"
"19057513","","","","","",0,"","invalid article id"
"9712704","","","","","",0,"","invalid article id"
"19962449","","","","","",0,"","invalid article id"
"31935507","","","","","",0,"","invalid article id"
