"PMID","PMCID","DOI","Version","MID","IsCurrent","IsLive","ReleaseDate","Msg"
"9858543","PMC83877","10.1128/mcb.19.1.182","PMC83877.1","",1,1,"",""
"15618413","PMC548845","10.1104/pp.104.055145","PMC548845.1","",1,1,"",""
"16002466","PMC1173364","10.1073/pnas.0504500102","PMC1173364.2","",1,1,"",""
"16217033","PMC1257735","10.1073/pnas.0507533102","PMC1257735.1","",1,1,"",""
"16826240","PMC1525158","10.1038/sj.embor.7400747","PMC1525158.1","",1,1,"",""
"18948421","PMC2582055","10.1242/dev.022723","PMC2582055.1","NIHMS74386",1,1,"",""
"19890395","PMC2767504","10.1371/journal.pone.0007734","PMC2767504.1","",1,1,"",""
"19915679","PMC2773024","10.1371/journal.pone.0007757","PMC2773024.1","",1,1,"",""
"20181827","PMC2854093","10.1091/mbc.E09-09-0829","PMC2854093.1","",1,1,"",""
"20300656","PMC2837401","10.1371/journal.pgen.1000878","PMC2837401.1","",1,1,"",""
"20356838","PMC2878062","10.1074/jbc.M110.118638","PMC2878062.1","",1,1,"",""
"21276945","PMC3031169","10.1016/j.chembiol.2010.10.016","PMC3031169.1","NIHMS254000",1,1,"",""
"21784066","PMC3171647","10.1016/j.ydbio.2011.06.043","PMC3171647.1","NIHMS312466",1,1,"",""
"22280815","PMC3288401","10.1016/j.bcp.2012.01.012","PMC3288401.1","NIHMS355132",1,1,"",""
"22577142","PMC3390678","10.1074/jbc.M112.364117","PMC3390678.1","",1,1,"",""
"22626847","PMC3418387","10.1016/j.yjmcc.2012.05.007","PMC3418387.1","NIHMS380831",1,1,"",""
"23499006","PMC3640747","10.1016/j.molcel.2013.02.009","PMC3640747.1","NIHMS445915",1,1,"",""
"24293517","PMC3943321","10.3324/haematol.2013.093047","PMC3943321.1","",1,1,"",""
"24529990","PMC4010198","10.1016/j.chembiol.2013.12.017","PMC4010198.1","NIHMS560365",1,1,"",""
"24550759","PMC3919425","10.1159/000355443","PMC3919425.1","",1,1,"",""
"25017061","PMC4126752","10.1016/j.celrep.2014.06.019","PMC4126752.1","NIHMS607178",1,1,"",""
