"PMID","PMCID","DOI","Version","MID","IsCurrent","IsLive","ReleaseDate","Msg"
"9573075","PMC108149","10.1128/iai.66.5.1953-1961.1998","PMC108149.1","",1,1,"",""
"9618445","PMC98918","10.1128/mmbr.62.2.334-361.1998","PMC98918.1","",1,1,"",""
"11545681","PMC55338","10.1186/1472-6793-1-11","PMC55338.1","",1,1,"",""
"9584109","PMC1460146","10.1093/genetics/149.1.355","PMC1460146.1","",1,1,"",""
"9353056","PMC175677","10.1128/iai.65.11.4718-4724.1997","PMC175677.1","",1,1,"",""
"8557031","PMC394736","10.1002/j.1460-2075.1995.tb00302.x","PMC394736.1","",1,1,"",""
"23603675","PMC3697580","10.1128/AEM.00867-13","PMC3697580.1","",1,1,"",""
"7891685","PMC230417","10.1128/mcb.15.4.1915","PMC230417.1","",1,1,"",""
"7846155","PMC159675","10.1104/pp.106.4.1373","PMC159675.1","",1,1,"",""
"26055913","PMC4471603","10.1631/jzus.B1400340","PMC4471603.1","",1,1,"",""
"6589635","PMC391600","10.1073/pnas.81.15.4903","PMC391600.1","",1,1,"",""
"4901362","PMC250162","10.1128/jb.100.2.809-816.1969","PMC250162.1","",1,1,"",""
"16963629","PMC1563583","10.1128/EC.00098-06","PMC1563583.1","",1,1,"",""
"30760608","PMC6374588","10.1128/mSphere.00001-19","PMC6374588.1","",1,1,"",""
"18219492","PMC2670428","10.1007/s00438-008-0320-y","PMC2670428.1","NIHMS106493",1,1,"",""
"34603917","PMC8450207","10.1007/s13205-021-02991-6","PMC8450207.1","",1,1,"",""
"20408811","PMC3684439","10.1042/BJ20100286","PMC3684439.1","NIHMS459569",1,1,"",""
"20412689","PMC2855041","","PMC2855041.1","",1,1,"",""
"23326325","PMC3542365","10.1371/journal.pone.0052126","PMC3542365.1","",1,1,"",""
"36011356","PMC9408421","10.3390/genes13081445","PMC9408421.1","",1,1,"",""
"23373973","PMC7657140","10.1111/cas.12122","PMC7657140.1","",1,1,"",""
"23634807","PMC6638622","10.1111/mpp.12034","PMC6638622.1","",1,1,"",""
"36271393","PMC9587632","10.1186/s13071-022-05461-x","PMC9587632.1","",1,1,"",""
"36290758","PMC9598091","10.3390/antiox11102035","PMC9598091.1","",1,1,"",""
"36388506","PMC9650215","10.3389/fpls.2022.1042855","PMC9650215.1","",1,1,"",""
"36438093","PMC9686006","10.3389/fpls.2022.1036973","PMC9686006.1","",1,1,"",""
"36618275","PMC9759233","10.22092/ARI.2022.357528.2058","PMC9759233.1","",1,1,"",""
"30647630","PMC6299858","10.1016/j.jgeb.2016.10.005","PMC6299858.1","",1,1,"",""
"33211385","PMC7894011","10.1111/cas.14741","PMC7894011.1","",1,1,"",""
"34512562","PMC8425484","10.3389/fmicb.2021.651221","PMC8425484.1","",1,1,"",""
"34986316","PMC8730813","10.1128/msphere.00874-21","PMC8730813.1","",1,1,"",""
"34988771","PMC8881443","10.1007/s10886-021-01337-z","PMC8881443.1","",1,1,"",""
"35202090","PMC8875753","10.3390/ncrna8010017","PMC8875753.1","",1,1,"",""
"35203313","PMC8870272","10.3390/cells11040664","PMC8870272.1","",1,1,"",""
"35326248","PMC8945447","10.3390/antiox11030598","PMC8945447.1","",1,1,"",""
"35392605","PMC8980721","10.3389/fcimb.2022.872012","PMC8980721.1","",1,1,"",""
"35639710","PMC9154178","10.1371/journal.pone.0269276","PMC9154178.1","",1,1,"",""
"36233327","PMC9569464","10.3390/ijms231912026","PMC9569464.1","",1,1,"",""
"28684763","PMC5500509","10.1038/s41598-017-04965-2","PMC5500509.1","",1,1,"",""
"36248719","PMC9540035","10.1007/s12155-022-10514-1","PMC9540035.1","",1,1,"",""
"32888571","","","","","",0,"","invalid article id"
"18248592","","","","","",0,"","invalid article id"
"29496557","","","","","",0,"","invalid article id"
"9614060","","","","","",0,"","invalid article id"
"31196377","","","","","",0,"","invalid article id"
"33190981","","","","","",0,"","invalid article id"
"15225792","","","","","",0,"","invalid article id"
"22705145","","","","","",0,"","invalid article id"
