"PMID","PMCID","DOI","Version","MID","IsCurrent","IsLive","ReleaseDate","Msg"
"1588959","PMC364455","10.1128/mcb.12.6.2616","PMC364455.1","",1,1,"",""
"2844525","PMC457171","10.1002/j.1460-2075.1988.tb03011.x","PMC457171.1","",1,1,"",""
"15654089","PMC1449556","10.1534/genetics.104.037143","PMC1449556.1","",1,1,"",""
"21985783","PMC3223861","10.1172/JCI57552","PMC3223861.1","",1,1,"",""
"28331092","PMC5432867","10.1128/JVI.00011-17","PMC5432867.1","",1,1,"",""
"29542091","PMC5874270","10.1007/s12031-018-1044-z","PMC5874270.1","",1,1,"",""
"17785431","PMC2169065","10.1128/MCB.00887-07","PMC2169065.1","",1,1,"",""
"17706600","PMC2030606","10.1016/j.bbrc.2007.07.156","PMC2030606.1","NIHMS30108",1,1,"",""
"31642077","PMC6856604","10.15252/embj.2019102423","PMC6856604.1","",1,1,"",""
"32054475","PMC7020519","10.1186/s12864-020-6554-8","PMC7020519.1","",1,1,"",""
"32694731","PMC7566881","10.1038/s42255-020-0211-z","PMC7566881.1","NIHMS1587165",1,1,"",""
"11024163","PMC110793","10.1093/nar/28.20.3853","PMC110793.1","",1,1,"",""
"8458333","PMC413324","10.1002/j.1460-2075.1993.tb05762.x","PMC413324.1","",1,1,"",""
"34356092","PMC8308024","10.3390/genes12071076","PMC8308024.1","",1,1,"",""
"34462321","PMC8408347","10.26508/lsa.202101083","PMC8408347.1","",1,1,"",""
"34755021","PMC8553977","10.18699/VJ21.068","PMC8553977.1","",1,1,"",""
"2046677","PMC361146","10.1128/mcb.11.7.3762","PMC361146.1","",1,1,"",""
"1656218","PMC361470","10.1128/mcb.11.10.4934","PMC361470.1","",1,1,"",""
"35448353","PMC9028734","10.3390/membranes12040383","PMC9028734.1","",1,1,"",""
"35459137","PMC9034603","10.1186/s12957-022-02590-6","PMC9034603.1","",1,1,"",""
"35470977","PMC9297766","10.1002/vms3.796","PMC9297766.1","",1,1,"",""
"35614220","PMC9310563","10.1038/s41586-022-04765-3","PMC9310563.1","NIHMS1805455",1,1,"",""
"1579104","PMC372851","10.1128/mr.56.1.1-11.1992","PMC372851.1","",1,1,"",""
"1383925","PMC334166","10.1093/nar/20.17.4417","PMC334166.1","",1,1,"",""
"1380694","PMC334100","10.1093/nar/20.15.4097","PMC334100.1","",1,1,"",""
"27737633","PMC5064798","10.1186/s12862-016-0780-3","PMC5064798.1","",1,1,"",""
"35994477","PMC9436093","10.1371/journal.pgen.1010376","PMC9436093.1","",1,1,"",""
"36084128","PMC9491583","10.1371/journal.pgen.1010390","PMC9491583.1","",1,1,"",""
"36291713","PMC9599142","10.3390/biom12101504","PMC9599142.1","",1,1,"",""
"36574441","PMC9829182","10.1371/journal.ppat.1010800","PMC9829182.1","",1,1,"",""
"29649251","PMC5978988","10.1371/journal.pgen.1007335","PMC5978988.1","",1,1,"",""
"30417580","PMC6305635","10.1002/mgg3.499","PMC6305635.1","",1,1,"",""
"30819925","PMC6587669","10.1182/blood-2018-12-890236","PMC6587669.1","",1,1,"",""
"32209662","PMC7149458","10.1073/pnas.1917461117","PMC7149458.1","",1,1,"",""
"32679672","PMC7397035","10.3390/genes11070795","PMC7397035.1","",1,1,"",""
"32747555","PMC7443904","10.1073/pnas.2002283117","PMC7443904.1","",1,1,"",""
"33184093","PMC7673356","10.1242/bio.057174","PMC7673356.1","",1,1,"",""
"33602134","PMC7893757","10.1186/s12870-021-02870-5","PMC7893757.1","",1,1,"",""
"33990617","PMC8121859","10.1038/s41525-021-00196-7","PMC8121859.1","",1,1,"",""
"34434221","PMC8381382","10.3389/fgene.2021.701658","PMC8381382.1","",1,1,"",""
"34679678","PMC8532826","10.3390/antiox10101543","PMC8532826.1","",1,1,"",""
"34968463","PMC8808182","10.1016/j.jbc.2021.101542","PMC8808182.1","",1,1,"",""
"35050001","PMC8779156","10.3390/jof8010061","PMC8779156.1","",1,1,"",""
"35741841","PMC9222559","10.3390/genes13061080","PMC9222559.1","",1,1,"",""
"35804502","PMC9265053","10.3390/ani12131601","PMC9265053.1","",1,1,"",""
"36289492","PMC9609465","10.1186/s13039-022-00625-x","PMC9609465.1","",1,1,"",""
"35854076","PMC9296583","10.1038/s42003-022-03581-9","PMC9296583.1","",1,1,"",""
"35893690","PMC9332270","10.3390/v14081625","PMC9332270.1","",1,1,"",""
"7830720","","","","","",0,"","invalid article id"
"11212295","","","","","",0,"","invalid article id"
"34264480","","","","","",0,"","invalid article id"
"35970996","","","","","",0,"","invalid article id"
"9173909","","","","","",0,"","invalid article id"
"17651405","","","","","",0,"","invalid article id"
"18989534","","","","","",0,"","invalid article id"
"34601821","","","","","",0,"","invalid article id"
"27103597","","","","","",0,"","invalid article id"
"7758459","","","","","",0,"","invalid article id"
