"PMID","PMCID","DOI","Version","MID","IsCurrent","IsLive","ReleaseDate","Msg"
"11358872","PMC313797","10.1101/gad.890501","PMC313797.1","",1,1,"",""
"21984412","PMC3273819","10.1093/nar/gkr837","PMC3273819.1","",1,1,"",""
"22139380","PMC3271143","10.1158/0008-5472.CAN-11-3194","PMC3271143.1","NIHMS342412",1,1,"",""
"22146343","PMC3277220","10.1038/mt.2011.266","PMC3277220.1","",1,1,"",""
"23555685","PMC3610672","10.1371/journal.pone.0059505","PMC3610672.1","",1,1,"",""
"24726358","PMC4593317","10.1016/j.celrep.2014.03.024","PMC4593317.1","NIHMS725271",1,1,"",""
"23339595","PMC3556100","10.1186/1756-8722-6-9","PMC3556100.1","",1,1,"",""
"22558535","PMC3339591","10.1007/s13205-011-0006-8","PMC3339591.1","",0,1,"",""
"22558535","PMC3339591","10.1007/s13205-011-0006-8","PMC3339591.2","",1,1,"",""
"22127868","PMC3315315","10.1093/nar/gkr1024","PMC3315315.1","",1,1,"",""
"21750170","PMC3169742","10.1158/1055-9965.EPI-11-0119","PMC3169742.1","NIHMS311439",1,1,"",""
"26151554","PMC4495043","10.1371/journal.pone.0130561","PMC4495043.1","",1,1,"",""
"26269544","PMC4587463","10.1104/pp.15.00793","PMC4587463.1","",1,1,"",""
"19523882","PMC2759717","10.1016/j.dnarep.2009.05.002","PMC2759717.1","NIHMS137408",1,1,"",""
"19124499","PMC2917049","10.1158/1055-9965.EPI-08-0632","PMC2917049.1","NIHMS90245",1,1,"",""
"18059021","PMC2676936","10.1002/ijc.23274","PMC2676936.1","NIHMS96130",1,1,"",""
"29287110","PMC5747486","10.1371/journal.ppat.1006784","PMC5747486.1","",1,1,"",""
"29923053","PMC6697086","10.1007/s11060-018-2915-4","PMC6697086.1","NIHMS1043575",1,1,"",""
"30395541","PMC6264644","10.1172/JCI99629","PMC6264644.1","",1,1,"",""
"9380520","PMC146987","10.1093/nar/25.19.3937","PMC146987.1","",1,1,"",""
"31630206","PMC7317150","10.1093/mutage/gez026","PMC7317150.1","",1,1,"",""
"31681716","PMC6803509","10.3389/fped.2019.00418","PMC6803509.1","",1,1,"",""
"32033115","PMC7072512","10.3390/cancers12020349","PMC7072512.1","",1,1,"",""
"1508669","PMC334057","10.1093/nar/20.15.3845","PMC334057.1","",1,1,"",""
"32300177","PMC7239769","10.1038/s41388-020-1280-x","PMC7239769.1","",1,1,"",""
"32914844","PMC7846189","10.1093/mutage/geaa023","PMC7846189.1","",1,1,"",""
"1475182","PMC334506","10.1093/nar/20.23.6209","PMC334506.1","",1,1,"",""
"33801877","PMC7998578","10.3390/cancers13061194","PMC7998578.1","",1,1,"",""
"34006647","PMC8166026","10.1073/pnas.2103630118","PMC8166026.1","",1,1,"",""
"34373746","PMC8344016","10.7150/thno.51456","PMC8344016.1","",1,1,"",""
"26110316","PMC4488670","10.3390/genes6020385","PMC4488670.1","",1,1,"",""
"35158950","PMC8833402","10.3390/cancers14030684","PMC8833402.1","",1,1,"",""
"35711839","PMC9174871","10.7150/jca.65506","PMC9174871.1","",1,1,"",""
"36341401","PMC9626757","10.3389/fimmu.2022.1033338","PMC9626757.1","",1,1,"",""
"27466406","PMC5003262","10.1073/pnas.1604748113","PMC5003262.1","",1,1,"",""
"28751376","PMC5612117","10.1074/jbc.M117.804625","PMC5612117.1","",1,1,"",""
"29222170","PMC5837005","10.1158/1541-7786.MCR-17-0373","PMC5837005.1","EMS74977",1,1,"",""
"31297992","PMC6687620","10.1002/mgg3.850","PMC6687620.1","",1,1,"",""
"31614656","PMC6826995","10.3390/cancers11101539","PMC6826995.1","",1,1,"",""
"31756402","PMC6926147","10.1016/j.biochi.2019.11.008","PMC6926147.1","NIHMS1544002",1,1,"",""
"31949141","PMC6965615","10.1038/s41467-019-14160-8","PMC6965615.1","",1,1,"",""
"34206543","PMC8268282","10.3390/ijms22136676","PMC8268282.1","",1,1,"",""
"34339842","PMC9510866","10.1016/j.gpb.2021.04.003","PMC9510866.1","",1,1,"",""
"34512699","PMC8427504","10.3389/fpls.2021.719846","PMC8427504.1","",1,1,"",""
"34616685","PMC8488388","10.3389/fonc.2021.744373","PMC8488388.1","",1,1,"",""
"35847575","PMC9270563","10.1016/j.joto.2022.03.001","PMC9270563.1","",1,1,"",""
"36001024","PMC9627136","10.1158/2159-8290.CD-22-0200","PMC9627136.1","",1,1,"",""
"36001024","PMC9627136","10.1158/2159-8290.CD-22-0200","PMC9627136.2","NIHMS1832944",0,0,"2023-05-02",""
"36119974","PMC9476205","10.1021/acsomega.2c03378","PMC9476205.1","",1,1,"",""
"33087274","PMC8727047","10.1016/j.dnarep.2020.102908","PMC8727047.1","NIHMS1627432",1,1,"",""
"32324932","","","","","",0,"","invalid article id"
"11554294","","","","","",0,"","invalid article id"
"9242409","","","","","",0,"","invalid article id"
"30639225","","","","","",0,"","invalid article id"
"1581963","","","","","",0,"","invalid article id"
"27010693","","","","","",0,"","invalid article id"
"33098802","","","","","",0,"","invalid article id"
"10447599","","","","","",0,"","invalid article id"
"17243165","","","","","",0,"","invalid article id"
"32149571","","","","","",0,"","invalid article id"
"9920050","","","","","",0,"","invalid article id"
"25189241","","","","","",0,"","invalid article id"
"34448246","","","","","",0,"","invalid article id"
"36458887","","","","","",0,"","invalid article id"
"30131040","","","","","",0,"","invalid article id"
"11414704","","","","","",0,"","invalid article id"
"30181552","","","","","",0,"","invalid article id"
"9363683","","","","","",0,"","invalid article id"
"35390524","","","","","",0,"","invalid article id"
"9539976","","","","","",0,"","invalid article id"
"27320638","","","","","",0,"","invalid article id"
"7576101","","","","","",0,"","invalid article id"
"16914385","","","","","",0,"","invalid article id"
"26131740","","","","","",0,"","invalid article id"
"25563294","","","","","",0,"","invalid article id"
"27352326","","","","","",0,"","invalid article id"
"12684867","","","","","",0,"","invalid article id"
"26125914","","","","","",0,"","invalid article id"
"33120273","","","","","",0,"","invalid article id"
"7904041","","","","","",0,"","invalid article id"
"34644377","","","","","",0,"","invalid article id"
"31956225","","","","","",0,"","invalid article id"
"24857880","","","","","",0,"","invalid article id"
"24084463","","","","","",0,"","invalid article id"
"1733856","","","","","",0,"","invalid article id"
"18990028","","","","","",0,"","invalid article id"
"33535947","","","","","",0,"","invalid article id"
"27028815","","","","","",0,"","invalid article id"
"21781197","","","","","",0,"","invalid article id"
"2907500","","","","","",0,"","invalid article id"
"34801826","","","","","",0,"","invalid article id"
"28893156","","","","","",0,"","invalid article id"
"7763862","","","","","",0,"","invalid article id"
"12234026","","","","","",0,"","invalid article id"
"15145052","","","","","",0,"","invalid article id"
"27628597","","","","","",0,"","invalid article id"
"12067728","","","","","",0,"","invalid article id"
"24929328","","","","","",0,"","invalid article id"
"12124343","","","","","",0,"","invalid article id"
"15203213","","","","","",0,"","invalid article id"
"8062276","","","","","",0,"","invalid article id"
"25900572","","","","","",0,"","invalid article id"
