"PMID","PMCID","DOI","Version","MID","IsCurrent","IsLive","ReleaseDate","Msg"
"17634289","PMC1995738","10.1091/mbc.E06-11-0979","PMC1995738.1","",1,1,"",""
"18451801","PMC2426726","10.1038/emboj.2008.88","PMC2426726.1","",1,1,"",""
"20045686","PMC2852135","10.1016/j.ydbio.2009.12.035","PMC2852135.1","NIHMS168736",1,1,"",""
"17628520","PMC3010412","10.1016/j.ydbio.2007.06.007","PMC3010412.1","NIHMS242631",1,1,"",""
"20479275","PMC2890422","10.1073/pnas.1000993107","PMC2890422.1","",1,1,"",""
"12704080","PMC196043","10.1101/gad.260403","PMC196043.1","",1,1,"",""
"23666629","PMC3711448","10.1093/nar/gkt366","PMC3711448.1","",1,1,"",""
"12409607","PMC137502","10.1073/pnas.192574799","PMC137502.1","",1,1,"",""
"11743026","PMC1084163","10.1093/embo-reports/kve245","PMC1084163.1","",1,1,"",""
"11707413","PMC125744","10.1093/emboj/20.22.6424","PMC125744.1","",1,1,"",""
"11691839","PMC312802","10.1101/gad.927001","PMC312802.1","",1,1,"",""
"24967911","PMC4072592","10.1371/journal.pgen.1004455","PMC4072592.1","",1,1,"",""
"20507562","PMC2887456","10.1186/1471-2229-10-99","PMC2887456.1","",1,1,"",""
"27007901","PMC4807384","10.1590/1678-4685-GMB-2014-0387","PMC4807384.1","",1,1,"",""
"27365210","PMC4986891","10.1261/rna.055608.115","PMC4986891.1","",1,1,"",""
"23917022","PMC3817150","10.4161/rna.25827","PMC3817150.1","",1,1,"",""
"27879206","PMC5158136","10.7554/eLife.19881","PMC5158136.1","",1,1,"",""
"20946982","PMC2955985","10.1016/j.cell.2010.09.036","PMC2955985.1","NIHMS240165",1,1,"",""
"28402567","PMC5499736","10.1093/nar/gkx256","PMC5499736.1","",1,1,"",""
"24223925","PMC3818460","10.1371/journal.pone.0079291","PMC3818460.1","",1,1,"",""
"24416299","PMC3885619","10.1371/journal.pone.0084842","PMC3885619.1","",1,1,"",""
"24587223","PMC3938834","10.1371/journal.pone.0090095","PMC3938834.1","",1,1,"",""
"24740276","PMC3989331","10.1371/journal.pone.0095535","PMC3989331.1","",1,1,"",""
"24820023","PMC4081321","10.1104/pp.114.237958","PMC4081321.1","",1,1,"",""
"21536894","PMC3107277","10.1073/pnas.1019315108","PMC3107277.1","",1,1,"",""
"31755218","PMC6998431","10.1002/1878-0261.12602","PMC6998431.1","",1,1,"",""
"26867216","PMC4750992","10.1371/journal.pone.0148200","PMC4750992.1","",1,1,"",""
"31633780","PMC6993843","10.1093/molbev/msz237","PMC6993843.1","",1,1,"",""
"32744350","PMC7868974","10.1111/pbi.13460","PMC7868974.1","",1,1,"",""
"34099713","PMC8184838","10.1038/s41467-021-23738-0","PMC8184838.1","",1,1,"",""
"27071313","PMC4830029","10.1186/s12870-016-0769-5","PMC4830029.1","",1,1,"",""
"35107838","PMC9306850","10.1111/nph.18011","PMC9306850.1","",1,1,"",""
