"PMID","PMCID","DOI","Version","MID","IsCurrent","IsLive","ReleaseDate","Msg"
"8278560","PMC158936","10.1104/pp.102.4.1363","PMC158936.1","",1,1,"",""
"9276958","PMC158442","10.1104/pp.114.4.1487","PMC158442.1","",1,1,"",""
"9539443","PMC1460030","10.1093/genetics/148.3.1295","PMC1460030.1","",1,1,"",""
"9611171","PMC1460191","10.1093/genetics/149.2.523","PMC1460191.1","",1,1,"",""
"10594107","PMC59487","10.1104/pp.121.4.1207","PMC59487.1","",1,1,"",""
"11402161","PMC135570","10.1105/tpc.13.6.1293","PMC135570.1","",1,1,"",""
"12177480","PMC166755","10.1104/pp.003418","PMC166755.1","",1,1,"",""
"21822060","PMC3260714","10.4161/psb.6.8.16361","PMC3260714.1","",1,1,"",""
"22492120","PMC3355348","10.1093/mp/sss031","PMC3355348.1","",1,1,"",""
"24951480","PMC4114944","10.1105/tpc.113.121657","PMC4114944.1","",1,1,"",""
"22303272","PMC3268501","10.1199/tab.0148","PMC3268501.1","",1,1,"",""
"22110748","PMC3218029","10.1371/journal.pone.0027737","PMC3218029.1","",1,1,"",""
"26893475","PMC4824614","10.1104/pp.16.00014","PMC4824614.1","",1,1,"",""
"22073299","PMC3207837","10.1371/journal.pone.0027250","PMC3207837.1","",1,1,"",""
"27855191","PMC5113904","10.1371/journal.pone.0166177","PMC5113904.1","",1,1,"",""
"28188273","PMC5462004","10.1104/pp.16.01727","PMC5462004.1","",1,1,"",""
"20693413","PMC2955749","10.1093/jxb/erq242","PMC2955749.1","",1,1,"",""
"28587227","PMC5486017","10.3390/ijms18061194","PMC5486017.1","",1,1,"",""
"20502669","PMC2873432","10.1371/journal.pone.0010721","PMC2873432.1","",1,1,"",""
"18252845","PMC2276449","10.1105/tpc.107.052142","PMC2276449.1","",1,1,"",""
"12533513","PMC195977","10.1101/gad.244103","PMC195977.1","",1,1,"",""
"12228380","PMC157156","10.1104/pp.107.2.523","PMC157156.1","",1,1,"",""
"31776262","PMC6925995","10.1073/pnas.1915149116","PMC6925995.1","",1,1,"",""
"32103019","PMC7044213","10.1038/s41467-020-14905-w","PMC7044213.1","",1,1,"",""
"10759510","PMC58949","10.1104/pp.122.4.1149","PMC58949.1","",1,1,"",""
"9733522","PMC34855","10.1104/pp.118.1.19","PMC34855.1","",1,1,"",""
"9390432","PMC158559","10.1104/pp.115.3.959","PMC158559.1","",1,1,"",""
"1498594","PMC160125","","PMC160125.1","",1,1,"",""
"23903316","PMC3753391","10.1105/tpc.113.112342","PMC3753391.1","",1,1,"",""
"34018302","PMC8406400","10.15252/embr.202051944","PMC8406400.1","",1,1,"",""
"34239522","PMC8258378","10.3389/fpls.2021.659712","PMC8258378.1","",1,1,"",""
"22751318","PMC3583954","10.4161/psb.20407","PMC3583954.1","",1,1,"",""
"35222493","PMC8867171","10.3389/fpls.2022.836519","PMC8867171.1","",1,1,"",""
"35281129","PMC8897165","10.1016/j.pld.2021.01.007","PMC8897165.1","",1,1,"",""
"26030677","PMC4490439","10.3390/ijms160612199","PMC4490439.1","",1,1,"",""
"26074936","PMC4448008","10.3389/fpls.2015.00372","PMC4448008.1","",1,1,"",""
"27776497","PMC5078887","10.1186/s12863-016-0448-4","PMC5078887.1","",1,1,"",""
