"PMID","PMCID","DOI","Version","MID","IsCurrent","IsLive","ReleaseDate","Msg"
"1548753","PMC288998","10.1128/jvi.66.4.2076-2085.1992","PMC288998.1","",1,1,"",""
"7494278","PMC189710","10.1128/jvi.69.12.7688-7698.1995","PMC189710.1","",1,1,"",""
"7799967","PMC231908","","PMC231908.1","",1,1,"",""
"7988559","PMC395527","10.1002/j.1460-2075.1994.tb06900.x","PMC395527.1","",1,1,"",""
"8035786","PMC359021","10.1128/mcb.14.8.5023","PMC359021.1","",1,1,"",""
"9858537","PMC83871","10.1128/mcb.19.1.121","PMC83871.1","",1,1,"",""
"9922266","PMC93469","10.1128/jb.181.3.998-1004.1999","PMC93469.1","",1,1,"",""
"10490619","PMC84677","10.1128/mcb.19.10.6803","PMC84677.1","",1,1,"",""
"11523826","PMC1594978","10.1046/j.1469-7580.2001.19910025.x","PMC1594978.1","",1,1,"",""
"10348855","PMC93810","10.1128/jb.181.11.3433-3437.1999","PMC93810.1","",1,1,"",""
"8709286","PMC190684","10.1128/jvi.70.9.6479-6485.1996","PMC190684.1","",1,1,"",""
"8691135","PMC2192671","10.1084/jem.184.1.203","PMC2192671.1","",1,1,"",""
"7666502","PMC189493","10.1128/jvi.69.10.5978-5987.1995","PMC189493.1","",1,1,"",""
"20826618","PMC3052566","10.1099/vir.0.023184-0","PMC3052566.1","",1,1,"",""
"7565736","PMC230835","10.1128/mcb.15.10.5830","PMC230835.1","",1,1,"",""
"22493086","PMC3370595","10.1128/IAI.06205-11","PMC3370595.1","",1,1,"",""
"24973954","PMC4134368","10.1007/s10295-014-1474-8","PMC4134368.1","NIHMS609676",1,1,"",""
"25238397","PMC4169617","10.1371/journal.pone.0107857","PMC4169617.1","",1,1,"",""
"29554889","PMC5859780","10.1186/s12867-018-0104-9","PMC5859780.1","",1,1,"",""
"15994811","PMC1168772","10.1128/JVI.79.14.9168-9179.2005","PMC1168772.1","",1,1,"",""
"35166652","PMC8942017","10.1099/mgen.0.000768","PMC8942017.1","",1,1,"",""
"17386941","PMC2719065","10.1016/j.molimm.2007.02.016","PMC2719065.1","NIHMS25297",1,1,"",""
"17629523","PMC2040501","10.1016/j.bcmd.2007.06.004","PMC2040501.1","NIHMS32385",1,1,"",""
"18719026","PMC2613053","10.1210/en.2007-1574","PMC2613053.1","",1,1,"",""
"21493681","PMC3167892","10.1099/mic.0.048496-0","PMC3167892.1","",1,1,"",""
"21625519","PMC3098285","10.1371/journal.pone.0020024","PMC3098285.1","",1,1,"",""
"22071512","PMC3352355","10.1099/vir.0.035832-0","PMC3352355.1","",1,1,"",""
"22623980","PMC3356404","10.1371/journal.pone.0037059","PMC3356404.1","",1,1,"",""
"22790984","PMC3467057","10.1093/nar/gks659","PMC3467057.1","",1,1,"",""
"25765478","PMC4334403","10.1186/s12864-015-1303-0","PMC4334403.1","",1,1,"",""
"28335027","PMC5435999","10.1093/nar/gkx094","PMC5435999.1","",1,1,"",""
"29130383","PMC5955183","10.1080/21505594.2017.1392428","PMC5955183.1","",1,1,"",""
"30291285","PMC6173691","10.1038/s41598-018-33137-z","PMC6173691.1","",1,1,"",""
"32193977","PMC7161692","10.1080/21505594.2020.1743540","PMC7161692.1","",1,1,"",""
"35858437","PMC9335307","10.1073/pnas.2203011119","PMC9335307.1","",1,1,"",""
"23056458","PMC3466182","10.1371/journal.pone.0046799","PMC3466182.1","",1,1,"",""
"23717649","PMC3662779","10.1371/journal.pone.0064688","PMC3662779.1","",1,1,"",""
"12949164","","","","","",0,"","invalid article id"
"12511846","","","","","",0,"","invalid article id"
"32377740","","","","","",0,"","invalid article id"
"11707778","","","","","",0,"","invalid article id"
"3026928","","","","","",0,"","invalid article id"
"16887979","","","","","",0,"","invalid article id"
"7680889","","","","","",0,"","invalid article id"
"16846973","","","","","",0,"","invalid article id"
"8631937","","","","","",0,"","invalid article id"
"10801783","","","","","",0,"","invalid article id"
"17218319","","","","","",0,"","invalid article id"
"19392685","","","","","",0,"","invalid article id"
"765741","","","","","",0,"","invalid article id"
"7649161","","","","","",0,"","invalid article id"
"30648612","","","","","",0,"","invalid article id"
"1303260","","","","","",0,"","invalid article id"
"10462718","","","","","",0,"","invalid article id"
"18379465","","","","","",0,"","invalid article id"
"14998994","","","","","",0,"","invalid article id"
"17711458","","","","","",0,"","invalid article id"
"15936902","","","","","",0,"","invalid article id"
"10362600","","","","","",0,"","invalid article id"
"8585944","","","","","",0,"","invalid article id"
"20190819","","","","","",0,"","invalid article id"
"8009842","","","","","",0,"","invalid article id"
"9305885","","","","","",0,"","invalid article id"
"9427502","","","","","",0,"","invalid article id"
"15064749","","","","","",0,"","invalid article id"
"11698277","","","","","",0,"","invalid article id"
"19422845","","","","","",0,"","invalid article id"
"7819272","","","","","",0,"","invalid article id"
"14990999","","","","","",0,"","invalid article id"
"1693183","","","","","",0,"","invalid article id"
"10453070","","","","","",0,"","invalid article id"
"16636450","","","","","",0,"","invalid article id"
"7478579","","","","","",0,"","invalid article id"
"11123690","","","","","",0,"","invalid article id"
"10187812","","","","","",0,"","invalid article id"
"11154060","","","","","",0,"","invalid article id"
"7624145","","","","","",0,"","invalid article id"
"20884689","","","","","",0,"","invalid article id"
"7742552","","","","","",0,"","invalid article id"
"9511763","","","","","",0,"","invalid article id"
"12459275","","","","","",0,"","invalid article id"
"9376596","","","","","",0,"","invalid article id"
"19745519","","","","","",0,"","invalid article id"
"8120054","","","","","",0,"","invalid article id"
"30466554","","","","","",0,"","invalid article id"
"10196196","","","","","",0,"","invalid article id"
"9272867","","","","","",0,"","invalid article id"
"2541537","","","","","",0,"","invalid article id"
"23754718","","","","","",0,"","invalid article id"
"9442396","","","","","",0,"","invalid article id"
"32111355","","","","","",0,"","invalid article id"
"24354910","","","","","",0,"","invalid article id"
"17395896","","","","","",0,"","invalid article id"
"9757567","","","","","",0,"","invalid article id"
"8670269","","","","","",0,"","invalid article id"
"30101343","","","","","",0,"","invalid article id"
"1641985","","","","","",0,"","invalid article id"
"2153262","","","","","",0,"","invalid article id"
"8632909","","","","","",0,"","invalid article id"
"16698794","","","","","",0,"","invalid article id"
