,authors,ArticleTitle,journal_title,volume,date,pubmed,doi_pii_str,abstract
0,"L. Meng, Y. Zhang, P. Wu, D. Li, Y. Lu, P. Shen, T. Yang, G. Shi, Q. Chen, H. Yuan, W. Ge, Y. Miao, M. Tu and K. Jiang, ","""CircSTX6 promotes pancreatic ductal adenocarcinoma progression by sponging miR-449b-5p and interacting with CUL2."", ",Molecular cancer ,21(1) ,(Jun. 2022). ,35650603; ,DOI 10.1186/s12943-022-01599-5.,"circular RNAs (circRNAs) have been reported to play crucial roles in the biology of different cancers. However, little is known about the function of circSTX6 (hsa_circ_0007905) in pancreatic ductal adenocarcinoma (PDAC)."
1,"L. Peng, H. Sang, S. Wei, Y. Li, D. Jin, X. Zhu, X. Li, Y. Dang and G. Zhang, ","""circCUL2 regulates gastric cancer malignant transformation and cisplatin resistance by modulating autophagy activation via miR-142-3p/ROCK2."", ",Molecular cancer ,19(1) ,(Nov. 2020). ,33153478; ,DOI 10.1186/s12943-020-01270-x.,"Circular RNAs (circRNAs) are a class of noncoding RNAs (ncRNAs) and can modulate gene expression by binding to miRNAs; further, circRNAs have been shown to participate in several pathological processes. However, the expression and biological function of circCUL2 in gastric cancer (GC) remains largely unknown."
2,"J. Meng, S. Chen, JX. Han, B. Qian, XR. Wang, WL. Zhong, Y. Qin, H. Zhang, WF. Gao, YY. Lei, W. Yang, L. Yang, C. Zhang, HJ. Liu, YR. Liu, HG. Zhou, T. Sun and C. Yang, ","""Twist1 Regulates Vimentin through Cul2 Circular RNA to Promote EMT in Hepatocellular Carcinoma."", ",Cancer research ,78(15) ,(Aug. 2018). ,29844124; ,DOI 10.1158/0008-5472.CAN-17-3009.,"Twist is a critical epithelial-mesenchymal transition (EMT)-inducing transcription factor that increases expression of vimentin. How Twist1 regulates this expression remains unclear. Here, we report that Twist1 regulates Cullin2 (Cul2) circular RNA to increase expression of vimentin in EMT. Twist1 bound the Cul2 promoter to activate its transcription and to selectively promote expression of Cul2 circular RNA (circ-10720), but not mRNA. circ-10720 positively correlated with Twist1, tumor malignance, and poor prognosis in hepatocellular carcinoma (HCC). Twist1 promoted vimentin expression by increasing levels of circ-10720, which can absorb miRNAs that target vimentin. circ-10720 knockdown counteracted the tumor-promoting activity of Twist1 in vitro and in patient-derived xenograft and diethylnitrosamine-induced TetOn-Twist1 transgenic mouse HCC models. These data unveil a mechanism by which Twist1 regulates vimentin during EMT. They also provide potential therapeutic targets for HCC treatment and provide new insight for circular RNA (circRNA)-based diagnostic and therapeutic strategies.Significance: A circRNA-based mechanism drives Twist1-mediated regulation of vimentin during EMT and provides potential therapeutic targets for treatment of HCC.Graphical Abstract: http://cancerres.aacrjournals.org/content/canres/78/15/4150/F1.large.jpg Cancer Res; 78(15); 4150-62. ©2018 AACR."
3,"Y. Maeda, T. Suzuki, X. Pan, G. Chen, S. Pan, T. Bartman and JA. Whitsett, ","""CUL2 is required for the activity of hypoxia-inducible factor and vasculogenesis."", ",The Journal of biological chemistry ,283(23) ,(Jun. 2008). ,18372249; ,DOI 10.1074/jbc.M710223200.,"CULLIN 2 (CUL2) is a component of the ElonginB/C-CUL2-RBX-1-Von Hippel-Lindau (VHL) tumor suppressor complex that ubiquitinates and degrades hypoxia-inducible factor alpha (HIFalpha). HIFalpha is a transcription factor that mediates the expression of hypoxia-sensitive genes, including vascular endothelial growth factor (VEGF), which in turn regulates vasculogenesis. Whereas CUL2 participates in the degradation of HIFalpha, the potential role of CUL2 in the regulation of other cellular processes is less well established. In the present study, suppression of CUL2 expression by Cul2 siRNA inhibited HIFalpha transcriptional activation of the VEGF gene in vitro, indicating that CUL2 plays a role distinct from its known function in HIFalpha degradation. Because ARNT heterodimerizes with HIFalpha, we assessed whether CUL2 influenced ARNT expression. Cul2 siRNA inhibited the expression of endogenous ARNT. Ectopically expressed ARNT reversed the inhibition of HIF activity by Cul2 siRNA in the VEGF promoter, suggesting that CUL2 regulates HIF activation through ARNT. In 786-O cells lacking VHL, Cul2 siRNA suppressed the expression of both ARNT and VEGF, indicating that CUL2 regulates HIF activity independently of VHL. In transgenic zebrafish expressing GFP driven by the Flk promoter (a known HIF target), zCul2 morpholino blocked embryonic vasculogenesis in a manner similar to that caused by inhibition of VEGF-A. In the zebrafish embryos, zCul2 inhibited the expression of CUL2, VEGF, and Flk-GFP protein, indicating that CUL2 is required for expression of other vasculogenic HIF targets. Taken together, CUL2 is required for normal vasculogenesis, at least in part mediated by its regulation of HIF-mediated transcription."
4,"SC. Clifford, S. Walsh, K. Hewson, EK. Green, A. Brinke, PM. Green, F. Gianelli, C. Eng and ER. Maher, ","""Genomic organization and chromosomal localization of the human CUL2 gene and the role of von Hippel-Lindau tumor suppressor-binding protein (CUL2 and VBP1) mutation and loss in renal-cell carcinoma development."", ","Genes, chromosomes & cancer ",26(1) ,(Sep. 1999). ,10441001; ,,"Germline mutations in the von Hippel-Lindau (VHL) disease tumor suppressor gene (TSG) convey a high risk of clear-cell renal-cell carcinoma (CC-RCC) and most sporadic CC-RCCs demonstrate somatic inactivation of the VHL TSG. However, the existence of further CC-RCC gatekeeper genes is implied by CC-RCC kindreds not linked to the VHL gene and the absence of somatic VHL inactivation in approximately 30% of sporadic CC-RCC. Genes that encode proteins which interact with the VHL gene product (VHL) provide candidate gatekeeper RCC genes. VHL forms a multimeric complex with two subunits (B and C) of the SIII (elongin) transcriptional elongation complex and CUL2, a member of the cullin family. Most pathogenic VHL mutations inhibit formation of the VHL/elonginB+C/CUL2 complex. A further VHL-binding protein of unknown function, VBP1, fails to bind to truncated forms of VHL. We have investigated the possible roles of CUL2 and VBP1 in renal tumorigenesis by analyzing sporadic RCC of known VHL mutation or hypermethylation status, including CC-RCC without VHL inactivation (n = 40); CC-RCC with VHL inactivation (n = 35); and non-CC-RCC (n = 14). No VBP1 mutations were identified in 89 sporadic RCCs, suggesting that VBP1 is not an RCC gatekeeper gene. To investigate CUL2, we mapped the CUL2 gene to chromosome band 10p11.1-p11.2, a region reported to show loss of heterozygosity (LOH) in several human cancers (including non-CC-RCC); determined the genomic organization; and performed mutation analysis of the 21 exons identified. Using novel intragenic polymorphisms, we detected LOH in 6/25 informative RCCs; however, no pathogenic CUL2 mutations were identified in the 89 RCCs analyzed. These findings suggest that unless CUL2 is inactivated by epigenetic events, it is not a major RCC TSG. However, CUL2 remains a candidate TSG for other tumor types demonstrating 10p LOH. Genes Chromosomes Cancer 26:20-28, 1999."
5,"EM. Duerr, O. Gimm, DS. Neuberg, JB. Kum, SC. Clifford, SP. Toledo, ER. Maher, PL. Dahia and C. Eng, ","""Differences in allelic distribution of two polymorphisms in the VHL-associated gene CUL2 in pheochromocytoma patients without somatic CUL2 mutations."", ",The Journal of clinical endocrinology and metabolism ,84(9) ,(Sep. 1999). ,10487688; ,,"Although the two major familial forms of pheochromocytomas, multiple endocrine neoplasia type 2 and von-Hippel-Lindau disease (VHL), have been associated with mutations of the RET and VHL genes, respectively, the molecular pathogenesis of sporadic pheochromocytomas is largely unknown. Recently, a putative tumor suppressor gene has been identified, CUL2, whose product has been shown to interact with the VHL tumor suppressor. To examine whether CUL2 plays a role in pheochromocytoma pathogenesis, we analyzed a series of 26 distinct tumor samples for mutations in the whole coding region of this gene. There were no somatic pathogenic mutations in CUL2, except for 1 sporadic tumor that had a hemizygous gene deletion. We also found 3 novel polymorphisms in the gene. One of these variants, IVS5-6C/T, as well as another previously described one, c.2057G/A, were overrepresented among the pheochromocytoma patients compared to that in a control population (P < 0.005 and P < 0.01, respectively). Although our findings suggest that CUL2 does not play a major role in the pathogenesis of pheochromocytomas, it is still unknown whether epigenetic mechanisms are involved in its inactivation in VHL-associated tumors. Furthermore, the potential role for the overrepresented alleles in the pheochromocytoma group requires further investigation."
6,"Z. Ji, X. Wang, Y. Liu, M. Zhong, J. Sun and J. Shang, ","""MicroRNA-574-3p Regulates HIF-α Isoforms Promoting Gastric Cancer Epithelial-Mesenchymal Transition via Targeting CUL2."", ",Digestive diseases and sciences ,67(8) ,(Aug. 2022). ,34655362; ,DOI 10.1007/s10620-021-07263-0.,Gastric cancer (GC) is the third leading cause of cancer-related deaths worldwide. MicroRNAs (miRNAs) have been widely validated as potential biomarkers for cancer treatment and diagnosis.
7,"J. Xu, Y. Fang, X. Wang, F. Wang, Q. Tian, Y. Li, X. Xie, X. Cheng and W. Lu, ","""CUL2 overexpression driven by CUL2/E2F1/miR-424 regulatory loop promotes HPV16 E7 induced cervical carcinogenesis."", ",Oncotarget ,7(21) ,(May. 2016). ,27153550; ,DOI 10.18632/oncotarget.9127.,"It has been shown that HPV16 E7, but not other genotypes, can bind to scaffold protein CUL2 during inducing cervical carcinogenesis, but the expression level, associated regulating mechanism, and potential carcinogenicity of CUL2 itself is still unknown as yet. Here, we demonstrated that CUL2 was specifically overexpressed in HPV16 positive cervical cancer cells and tissues, and CUL2 expression was significantly increased along with the cervical lesion progression and positively correlated with HPV16 E7. CUL2 knockdown slowed the growth of xenograft tumors in mouse models. Importantly, CUL2 specifically bound to HPV16 E7, but not HPV18 E7. Moreover, CUL2 acted as a direct target of miR-424, and reversely suppressed miR-424; E2F transcription factor 1 (E2F1) suppressed miR-424 expression; CUL2 bound to E2F1 and promoted E2F1 expression. Our results indicate the existence of a regulatory loop among CUL2, E2F1, and miR-424 in HPV16 positive cervical cancer cells. Our results suggest that E7 recruited CUL2, driven by CUL2/E2F1/miR-424 regulatory loop, is overexpressed and accelerates HPV16-induced cervical carcinogenesis. Our findings may serve as one of the explanations for a clinical phenomenon that HPV16 possesses the strongest cervical carcinogenicity among high-risk HPV genotypes."
8,"B. Li, R. Zhao, W. Qiu, Z. Pan, S. Zhao, Y. Qi, J. Qiu, S. Zhang, Q. Guo, Y. Fan, H. Xu, M. Li, G. Li and H. Xue, ","""The N6-methyladenosine-mediated lncRNA WEE2-AS1 promotes glioblastoma progression by stabilizing RPN2."", ",Theranostics ,12(14) ,(2022). ,36168628; ,DOI 10.7150/thno.74600.,"Background: Glioblastoma (GBM) is the most common primary brain malignancy and has high aggressiveness and a poor prognosis. N6-methyladenosine (m6A) represents the most prevalent methylation modification of lncRNAs and has been shown to play important roles in the pathophysiological processes of tumors. However, the distribution and function of m6A modifications in lncRNAs in GBM tissues have not been fully revealed. Methods: The global depiction of m6A-modified lncRNA expression patterns in GBM tumor tissues was screened via m6A high-throughput sequencing. Gain- and loss-of-function assays were performed to investigate the role of WEE2-AS1 in GBM. Mass spectrometry and RNA-pulldown, RNA immunoprecipitation (RIP), luciferase reporter and coimmunoprecipitation assays were performed to explore the mechanism of m6A-mediated upregulation of WEE2-AS1 expression and the downstream mechanism promoting the malignant progression of GBM. Results: Herein, we report the differential expression profile of m6A-modified lncRNAs in human GBM tissues for the first time. WEE2-AS1 was identified as a novel m6A-modified lncRNA that promotes GBM progression and was post-transcriptionally stabilized by IGF2BP3, an m6A reader. Moreover, we confirmed that WEE2-AS1 promoted RPN2 protein stabilization by preventing CUL2-mediated RPN2 K322 ubiquitination, thereby contributing to GBM malignant progression by activating the PI3K-Akt signaling pathway. In translational medicine, we found that blocking WEE2-AS1 expression improved the therapeutic sensitivity of dasatinib, a central nervous system penetrant that is FDA-approved in GBM. Conclusions: Overall, this work highlights that WEE2-AS1 may serve as a potential prognostic biomarker and therapeutic target in GBM, the knockdown of which significantly improves the efficacy of dasatinib, providing a promising strategy for improving targeted combination therapy for GBM patients."
9,"BL. Yang, GQ. Liu, P. Li and XH. Li, ","""Circular RNA CUL2 regulates the development of colorectal cancer by modulating apoptosis and autophagy via miR-208a-3p/PPP6C."", ",Aging ,14(1) ,(Jan. 2022). ,35027503; ,DOI 10.18632/aging.203827.,To explore the function of circular RNA CUL2 (circCUL2) in colorectal cancer progression.
