,authors,ArticleTitle,journal_title,volume,date,pubmed,doi_pii_str,abstract
0,"K. Wang, T. Bu, Q. Cheng, L. Dong, T. Su, Z. Chen, F. Kong, Z. Gong, B. Liu and M. Li, ","""Two homologous LHY pairs negatively control soybean drought tolerance by repressing the abscisic acid responses."", ",The New phytologist ,229(5) ,(Mar. 2021). ,33095906; ,DOI 10.1111/nph.17019.,"The circadian clock plays essential roles in diverse plant biological processes, such as flowering, phytohormone biosynthesis and abiotic stress responses. The manner in which circadian clock genes regulate drought stress responses in model plants has been well established, but comparatively little is known in crop species, such as soybean, a major global crop. This paper reports that the core clock components GmLHYs, the orthologues of CCA1/LHY in Arabidopsis, negatively control drought tolerance in soybean. The expressions of four GmLHYs were all induced by drought, and the quadruple mutants of GmLHYs demonstrated significantly improved drought tolerance. Transcriptome profiling suggested that the abscisic acid (ABA) signaling pathway is regulated by GmLHYs to respond to drought tolerance. Genetic dissections showed that two homologous pairs of LHY1a and LHY1b redundantly control the drought response. Functional characterization of LHY1a and LHY1b in Arabidopsis and soybean further supported the notion that GmLHYs can maintain cellular homeostasis through the ABA signaling pathway under drought stress. This study improves our understanding of the underlying molecular mechanisms on soybean drought tolerance. Furthermore, the two homologues of LHY1a and LHY1b provide alternative targets for genome editing to rapidly generate mutant alleles in elite soybean cultivars to enhance their drought tolerance."
1,"H. Li, P. Yang, J. Wang, J. Zhang, Q. Ma, Y. Jiang, Y. Wu, T. Han and D. Xiang, ","""HLF regulates ferroptosis, development and chemoresistance of triple-negative breast cancer by activating tumor cell-macrophage crosstalk."", ",Journal of hematology & oncology ,15(1) ,(Jan. 2022). ,34991659; ,DOI 10.1186/s13045-021-01223-x.,"Tumor-associated macrophages (TAMs) are major components of the tumor microenvironment (TME) which are closely associated with the tumor malignant progression. However, the regulatory mechanisms by which TAMs influence the progression of triple-negative breast cancer (TNBC) remain unclear. Here, we report that hepatic leukemia factor (HLF) acts as a novel oncoprotein in TNBC. We found that HLF was regulated by transforming growth factor-beta1 (TGF-β1) that is secreted by TAMs. Then, HLF transactivated gamma-glutamyltransferase 1 (GGT1) to promote the ferroptosis resistance, thus driving TNBC cell proliferation, metastasis and cisplatin resistance. Reciprocally, IL-6 produced by TNBC cells activated the JAK2/STAT3 axis to induce TGF-β1 secretion by TAMs, thus constituted a feed-forward circuit. The accuracy of TNBC patient prognosis could be improved by employing a combination of HLF and GGT1 values. Thus, our findings document that the interactive dialogue between TNBC cells and TAMs promotes sustained activation of HLF in tumor cells through the IL-6-TGF-β1 axis. Subsequently, HLF promotes the ferroptosis resistance in TNBC cells via GGT1 and ultimately facilitates the malignant tumor progression. Our study provides a potential target for the treatment of TNBC."
2,"RAC. Siemieniuk, DK. Chu, LH. Kim, MR. Güell-Rous, W. Alhazzani, PM. Soccal, PJ. Karanicolas, PD. Farhoumand, JLK. Siemieniuk, I. Satia, EM. Irusen, MM. Refaat, JS. Mikita, M. Smith, DN. Cohen, PO. Vandvik, T. Agoritsas, L. Lytvyn and GH. Guyatt, ","""Oxygen therapy for acutely ill medical patients: a clinical practice guideline."", ",BMJ (Clinical research ed.) ,363 ,(Oct. 2018). ,30355567; ,DOI 10.1136/bmj.k4169.,
3,"S. Wang, Q. Sun, M. Zhang, C. Yin and M. Ni, ","""WRKY2 and WRKY10 regulate the circadian expression of PIF4 during the day through interactions with CCA1/LHY and phyB."", ",Plant communications ,3(2) ,(Mar. 2022). ,35529947; ,DOI 10.1016/j.xplc.2021.100265.,"WRKY transcription factors are known mostly for their function in plant defense, abiotic stress responses, senescence, seed germination, and development of the pollen, embryo, and seed. Here, we report the regulatory functions of two WRKY proteins in photomorphogenesis and PIF4 expression. PIF4 is a critical signaling hub in light, temperature, and hormonal signaling pathways. Either its expression or its accumulation peaks in the morning and afternoon. WRKY2 and WRKY10 form heterodimers and recognize their target site in the PIF4 promoter near the MYB element that is bound by CCA1 and LHY under red and blue light. WRKY2 and WRKY10 interact directly with CCA1/LHY to enhance their targeting but interact indirectly with SHB1. The two WRKY proteins also interact with phyB, and their interaction enhances the targeting of CCA1 and LHY to the PIF4 promoter. SHB1 associates with the WRKY2 and WRKY10 loci and enhances their expression in parallel with the PIF4 expression peaks. This forward regulatory loop further sustains the accumulation of the two WRKY proteins and the targeting of CCA1/LHY to the PIF4 locus. In summary, interactions of two WRKY proteins with CCA1/LHY and phyB maintain an optimal expression level of PIF4 toward noon and afternoon, which is essential to sketch the circadian pattern of PIF4 expression."
4,"RM. Green and EM. Tobin, ","""The role of CCA1 and LHY in the plant circadian clock."", ",Developmental cell ,2(5) ,(May. 2002). ,12015957; ,,Our understanding of plant circadian rhythms has been advanced by two papers investigating the roles of the transcription factors CCA1 and LHY in the circadian oscillator.
5,"W. Gao, L. Zhang, J. Wang, Z. Liu, Y. Zhang, C. Xue, M. Liu and J. Zhao, ","""ZjSEP3 modulates flowering time by regulating the LHY promoter."", ",BMC plant biology ,21(1) ,(Nov. 2021). ,34763664; ,DOI 10.1186/s12870-021-03305-x.,"SEPALLATA3 (SEP3), which is conserved across various plant species, plays essential and various roles in flower and fruit development. However, the regulatory network of the role of SEP3 in flowering time at the molecular level remained unclear."
6,"T. Alexandre Moraes, V. Mengin, B. Peixoto, B. Encke, N. Krohn, M. Höhne, U. Krause and M. Stitt, ","""The circadian clock mutant lhy cca1 elf3 paces starch mobilization to dawn despite severely disrupted circadian clock function."", ",Plant physiology ,189(4) ,(Aug. 2022). ,35567528; ,DOI 10.1093/plphys/kiac226.,"Many plants, including Arabidopsis (Arabidopsis thaliana), accumulate starch in the daytime and remobilize it to support maintenance and growth at night. Starch accumulation is increased when carbon is in short supply, for example, in short photoperiods. Mobilization is paced to exhaust starch around dawn, as anticipated by the circadian clock. This diel pattern of turnover is largely robust against loss of day, dawn, dusk, or evening clock components. Here, we investigated diel starch turnover in the triple circadian clock mutant lhy cca1 elf3, which lacks the LATE ELONGATED HYPOCOTYL and the CIRCADIAN CLOCK-ASSOCIATED1 (CCA1) dawn components and the EARLY FLOWERING3 (ELF3) evening components of the circadian clock. The diel oscillations of transcripts for the remaining clock components and related genes like REVEILLE and PHYTOCHROME-INTERACING FACTOR family members exhibited attenuated amplitudes and altered peak time, weakened dawn dominance, and decreased robustness against changes in the external light-dark cycle. The triple mutant was unable to increase starch accumulation in short photoperiods. However, it was still able to pace starch mobilization to around dawn in different photoperiods and growth irradiances and to around 24 h after the previous dawn in T17 and T28 cycles. The triple mutant was able to slow down starch mobilization after a sudden low-light day or a sudden early dusk, although in the latter case it did not fully compensate for the lengthened night. Overall, there was a slight trend to less linear mobilization of starch. Thus, starch mobilization can be paced rather robustly to dawn despite a major disruption of the transcriptional clock. It is proposed that temporal information can be delivered from clock components or a semi-autonomous oscillator."
7,"J. Kyung, M. Jeon, G. Jeong, Y. Shin, E. Seo, J. Yu, H. Kim, CM. Park, D. Hwang and I. Lee, ","""The two clock proteins CCA1 and LHY activate VIN3 transcription during vernalization through the vernalization-responsive cis-element."", ",The Plant cell ,34(3) ,(Mar. 2022). ,34931682; ,DOI 10.1093/plcell/koab304.,"Vernalization, a long-term cold-mediated acquisition of flowering competence, is critically regulated by VERNALIZATION INSENSITIVE 3 (VIN3), a gene induced by vernalization in Arabidopsis. Although the function of VIN3 has been extensively studied, how VIN3 expression itself is upregulated by long-term cold is not well understood. In this study, we identified a vernalization-responsive cis-element in the VIN3 promoter, VREVIN3, composed of a G-box and an evening element (EE). Mutations in either the G-box or the EE prevented VIN3 expression from being fully induced upon vernalization, leading to defects in the vernalization response. We determined that the core clock proteins CIRCADIAN CLOCK-ASSOCIATED 1 (CCA1) and LATE-ELONGATED HYPOCOTYL (LHY) associate with the EE of VREVIN3, both in vitro and in vivo. In a cca1 lhy double mutant background harboring a functional FRIGIDA allele, long-term cold-mediated VIN3 induction and acceleration of flowering were impaired, especially under mild cold conditions such as at 12°C. During prolonged cold exposure, oscillations of CCA1/LHY transcripts were altered, while CCA1 abundance increased at dusk, coinciding with the diurnal peak of VIN3 transcripts. We propose that modulation of the clock proteins CCA1 and LHY participates in the systems involved in sensing long-term cold for the activation of VIN3 transcription."
8,"T. Mizoguchi, K. Wheatley, Y. Hanzawa, L. Wright, M. Mizoguchi, HR. Song, IA. Carré and G. Coupland, ","""LHY and CCA1 are partially redundant genes required to maintain circadian rhythms in Arabidopsis."", ",Developmental cell ,2(5) ,(May. 2002). ,12015970; ,,"Several genes are known to regulate circadian rhythms in Arabidopsis, but the identity of the central oscillator has not been established. LHY and CCA1 are related MYB-like transcription factors proposed to be closely involved. Here we demonstrate that, as shown previously for CCA1, inactivation of LHY shortens the period of circadian rhythms in gene expression and leaf movements. By constructing lhy cca1-1 double mutants, we show that LHY and CCA1 are partially redundant and essential for the maintenance of circadian rhythms in constant light. Under light/dark cycles the lhy cca1-1 plants show dramatically earlier phases of expression of GI and TOC1, genes associated with the generation of circadian rhythms and the promotion of LHY and CCA1 expression. We conclude that LHY and CCA1 appear to be negative regulatory elements required for central oscillator function."
9,"PA. Salomé, ","""The circadian clock reaches vernalization: How CCA1 and LHY induce VIN3 transcription during winter."", ",The Plant cell ,34(3) ,(Mar. 2022). ,35243508; ,DOI 10.1093/plcell/koab308.,
