Unnamed: 0,journal_title,pubmed,abstract
0,Cancer science ,33211385; ,"Copy number alterations detected by comparative genomic hybridization (CGH) can lead to the identification of novel cancer-related genes. We analyzed chromosomal aberrations in a set of 100 human primary colorectal cancers (CRCs) using CGH and found a solute carrier (SLC) 7A1 gene, which encodes cationic amino acid transporter 1 (CAT1) with 14 putative transmembrane domains, in a chromosome region (13q12.3) with a high frequency of gene amplifications. SLC7A1/CAT1 is a transporter responsible for the uptake of cationic amino acids (arginine, lysine, and ornithine) essential for cellular growth. Microarray and PCR analyses have revealed that mRNA transcribed from CAT1 is overexpressed in more than 70% of human CRC samples, and RNA interference-mediated knockdown of CAT1 inhibited the cell growth of CRCs. Rats were immunized with rat hepatoma cells expressing CAT1 tagged with green fluorescent protein (GFP), and rat splenocytes were fused with mouse myeloma cells. Five rat monoclonal antibodies (mAbs) (CA1 ~ CA5) reacting with HEK293 cells expressing CAT1-GFP in a GFP expression-dependent manner were selected from established hybridoma clones. Novel anti-CAT1 mAbs selectively reacted with human CRC tumor tissues compared with adjacent normal tissues according to immuno-histochemical staining and bound strongly to numerous human cancer cell lines by flow cytometry. Anti-CAT1 mAbs exhibited internalization activity, antibody-dependent cellular cytotoxicity, and migration inhibition activity against CRC cell lines. Furthermore, CA2 inhibited the in vivo growth of human HT29 and SW-C4 CRC tumors in nude mice. This study suggested CAT1 to be a promising target for mAb therapy against CRCs."
1,Revista iberoamericana de micologia ,20974273; ,"Aspergillus fumigatus is an opportunistic pathogen that causes 90% of invasive aspergillosis (IA) due to Aspergillus genus, with a 50-95% mortality rate. It has been postulated that certain virulence factors are characteristic of A. fumigatus, but the ""non-classical"" virulence factors seem to be highly variable. Overall, published studies have demonstrated that the virulence of this fungus is multifactorial, associated with its structure, its capacity for growth and adaptation to stress conditions, its mechanisms for evading the immune system and its ability to cause damage to the host. In this review we intend to give a general overview of the genes and molecules involved in the development of IA. The thermotolerance section focuses on five genes related with the capacity of the fungus to grow at temperatures above 30°C (thtA, cgrA, afpmt1, kre2/afmnt1, and hsp1/asp f 12). The following sections discuss molecules and genes related to interaction with the host and with the immune responses. These sections include β-glucan, α-glucan, chitin, galactomannan, galactomannoproteins (afmp1/asp f 17 and afmp2), hydrophobins (rodA/hyp1 and rodB), DHN-melanin, their respective synthases (fks1, rho1-4, ags1-3, chsA-G, och1-4, mnn9, van1, anp1, glfA, pksP/alb1, arp1, arp2, abr1, abr2, and ayg1), and modifying enzymes (gel1-7, bgt1, eng1, ecm33, afpigA, afpmt1-2, afpmt4, kre2/afmnt1, afmnt2-3, afcwh41 and pmi); several enzymes related to oxidative stress protection such as catalases (catA, cat1/catB, cat2/katG, catC, and catE), superoxide dismutases (sod1, sod2, sod3/asp f 6, and sod4), fatty acid oxygenases (ppoA-C), glutathione tranferases (gstA-E), and others (afyap1, skn7, and pes1); and efflux transporters (mdr1-4, atrF, abcA-E, and msfA-E). In addition, this review considers toxins and related genes, such as a diffusible toxic substance from conidia, gliotoxin (gliP and gliZ), mitogillin (res/mitF/asp f 1), hemolysin (aspHS), festuclavine and fumigaclavine A-C, fumitremorgin A-C, verruculogen, fumagillin, helvolic acid, aflatoxin B1 and G1, and laeA. Two sections cover genes and molecules related with nutrient uptake, signaling and metabolic regulations involved in virulence, including enzymes, such as serine proteases (alp/asp f 13, alp2, and asp f 18), metalloproteases (mep/asp f 5, mepB, and mep20), aspartic proteases (pep/asp f 10, pep2, and ctsD), dipeptidylpeptidases (dppIV and dppV), and phospholipases (plb1-3 and phospholipase C); siderophores and iron acquisition (sidA-G, sreA, ftrA, fetC, mirB-C, and amcA); zinc acquisition (zrfA-H, zafA, and pacC); amino acid biosynthesis, nitrogen uptake, and cross-pathways control (areA, rhbA, mcsA, lysF, cpcA/gcn4p, and cpcC/gcn2p); general biosynthetic pathway (pyrG, hcsA, and pabaA), trehalose biosynthesis (tpsA and tpsB), and other regulation pathways such as those of the MAP kinases (sakA/hogA, mpkA-C, ste7, pbs2, mkk2, steC/ste11, bck1, ssk2, and sho1), G-proteins (gpaA, sfaD, and cpgA), cAMP-PKA signaling (acyA, gpaB, pkaC1, and pkaR), His kinases (fos1 and tcsB), Ca(2+) signaling (calA/cnaA, crzA, gprC and gprD), and Ras family (rasA, rasB, and rhbA), and others (ace2, medA, and srbA). Finally, we also comment on the effect of A. fumigatus allergens (Asp f 1-Asp f 34) on IA. The data gathered generate a complex puzzle, the pieces representing virulence factors or the different activities of the fungus, and these need to be arranged to obtain a comprehensive vision of the virulence of A. fumigatus. The most recent gene expression studies using DNA-microarrays may be help us to understand this complex virulence, and to detect targets to develop rapid diagnostic methods and new antifungal agents."
2,Journal of experimental botany ,17728292; ,"Catalase and hydrogen peroxide (H(2)O(2)) have been extensively studied for their roles in various stress responses. However, little is known about the triggering mechanisms for stress-induced catalase gene expression or about H(2)O(2) production as a stress signal. It is reported here that ABA-, drought-, and salt stress-induced gene expression of CAT1 catalase is mediated by AtMEK1, an Arabidopsis MAPK kinase, by triggering H(2)O(2) signal production. Both CAT1 expression and AtMEK1 activity were activated by ABA, drought, and salt stresses. The mek1 mutant totally blocked stress-induced CAT1 expression and, interestingly, stress-induced H(2)O(2) production was also blocked. Over-expression of AtMEK1 significantly promoted stress-induced CAT1 expression, and also promoted H(2)O(2) production. These results conclusively indicate that stress-induced CAT1 expression is mediated by AtMEK1 and, furthermore, that the triggering of H(2)O(2) production might be involved in this process, as further proved by the observation that CAT1 expression was induced by applied H(2)O(2.) Surprisingly, the signalling mechanisms for stress-induced gene expression of CAT2 and CAT3 were very different from that of CAT1. Except for drought stress, expression of CAT2 or CAT3 was also activated by salt stress or ABA treatment, and AtMEK1 was not proved to be involved in the drought-induced expression of CAT2 or CAT3. Further studies showed that stomatal movement was much less sensitive to ABA in AtMEK1 mutant (mek1), and over-expression of AtMEK1 in Arabidopsis increased plant resistance to drought or salt stress, which further demonstrated that AtMEK1 is a crucial mediator in plant stress signal transduction."
3,"Methods in molecular biology (Clifton, N.J.) ",35781205; ,"The availability of exceptionally strong and tightly regulated promoters is a key feature of Komagataella phaffii (syn. Pichia pastoris), a widely applied yeast expression system for heterologous protein production. Most commonly, the methanol-inducible promoter of the alcohol oxidase 1 gene (PAOX1) and the constitutive promoter of the glyceraldehyde 3 phosphate dehydrogenase gene (PGAP) have been used. Recently, also promising novel constitutive (PGCW14), regulated (PGTH1, PCAT1), and bidirectional promoters (histone promoters and synthetic hybrid variants) have been reported.As natural promoters showed so far limited tunability of expression levels and regulatory profiles, various promoter engineering efforts have been undertaken for P. pastoris . PAOX1, PDAS2, PGAP, and PGCW14 have been engineered by systematic deletion studies or random mutagenesis of upstream regulatory sequences. New engineering strategies have focused on PAOX1 core promoter modifications by random or rational approaches and transcriptional regulatory circuits to render PAOX1 independent of methanol induction. These promoter engineering efforts in P. pastoris have resulted in improved, sequence-diversified synthetic promoter variants allowing coordinated fine-tuning of gene expression for a multitude of biotechnological applications."
4,PloS one ,35639710; ,"Positive and counter-selectable markers have been successfully integrated as a part of numerous genetic assays in many model organisms. In this study, we investigate the mechanism of resistance to arginine analog canavanine and its applicability for genetic selection in Schizosaccharomyces pombe. Deletion of both the arginine permease gene cat1 and SPBC18H10.16/vhc1 (formerly mistakenly called can1) provides strong drug resistance, while the single SPBC18H10.16/vhc1 deletion does not have an impact on canavanine resistance. Surprisingly, the widely used can1-1 allele does not encode for a defective arginine permease but rather corresponds to the any1-523C>T allele. The strong canavanine-resistance conferred by this allele arises from an inability to deposit basic amino acid transporters on the cellular membrane. any1-523C>T leads to reduced post-translational modifications of Any1 regulated by the Tor2 kinase. We also demonstrate that any1-523C>T is a dominate allele. Our results uncover the mechanisms of canavanine-resistance in fission yeast and open the opportunity of using cat1, vhc1 and any1 mutant alleles in genetic assays."
5,Proceedings of the National Academy of Sciences of the United States of America ,6589635; ,"A regulatory element has been identified in maize that appears to exert an effect specifically on Cat1 gene expression in the scutellum of maize during early sporophytic development. Cat1 encodes CAT-1 catalase, one of two forms of catalase expressed in the scutellum during this developmental time period. Density-labeling experiments indicate that the regulatory element influences the overall levels of CAT-1 protein synthesis in the scutellum but has no effect on CAT-2 protein synthesis. Immunoprecipitation experiments of in vitro translation products suggest that this element has an effect on the level of translatable Cat1 mRNA associated with the scutellar polysomes. The element exhibits additive inheritance and is tissue and time specific in its action. This element, therefore, meets all the criteria of a regulatory gene and has been designated Car2. The element acts to regulate the temporal expression of the Cat1 structural locus in maize."
6,Plant physiology and biochemistry : PPB ,20347322; ,"A cDNA clone containing a catalase (CAT1) gene, designated PgCat1, was isolated from Panax ginseng C.A. Meyer (Korean ginseng). PgCat1 is predicted to encode a precursor protein of 492 amino acid residues, and its sequence shares high degrees of homology with a number of other CAT1s. Genomic DNA hybridization analysis indicated that PgCat1 represents a multi-gene family. Reverse transcriptase (RT)-PCR results showed that PgCat1 expressed at different levels in leaves, stem, roots of P. ginseng seedlings. Different stresses, heavy metals, plant hormones, osmotic agents, high light irradiance, abiotic stresses, triggered a significant induction of PgCat1. The positive responses of PgCat1 to the various stimuli suggested that P. ginseng PgCat1 may help to protect the plant against reactive oxidant related environmental stresses."
7,The Plant journal : for cell and molecular biology ,8220459; ,"A genomic clone containing the maize Cat1 gene has been isolated and its complete DNA sequence determined. The start of transcription has been mapped by primer extension. Six introns were identified in the Cat1 coding region. In order to determine the tissue-specific expression pattern of the Cat1 gene, promoter-reporter gene fusion constructs were made consisting of 2.5 kb and 0.8 kb of the 5' Cat1 sequence fused to the coding region of the beta-glucuronidase (GUS) gene. These fusion constructs were introduced into Nicotiana tabacum cv. Burley 21 and the expression of Cat1-GUS in various tissues was examined. In transgenic tobacco, the Cat1 promoter can drive GUS expression at relatively high levels in mature seeds. GUS activity starts to accumulate at about 10 days after flowering, reaching a maximum at about 22 days after flowering, and decreases thereafter, but persists until after seed desiccation through early germination. Low levels of GUS activity can be detected in pollen. This corresponds to the Cat1 expression pattern observed in maize."
8,Food & function ,30238944; ,"Blueberry is rich in bioactive phytochemicals with a wide of range of biological activities and health benefits. However, little is known about their effects on aging. The objectives of this study were to evaluate the effects of supplementation with a blueberry extract (BE) on lifespan and stress resistance using Caenorhabditis elegans (C. elegans) as a model. The mechanisms of these effects were explored using RNAi technology. The mean lifespan of C. elegans treated with BE at 50, 100, and 200 mg mL-1 was significantly increased by 22.2%, 36.5%, and 44.4%, respectively, in a dose-dependent manner. In addition, supplementation with BE improved motility and decreased lipofuscin accumulation. C. elegans pretreated with BE were more resistant than untreated C. elegans to stresses (heat, ultraviolet-B radiation, and paraquat). Treatment with BE resulted in up-regulation of genes related to antioxidant systems, including sod-3, cat-1, mev-1, skn-1, mek-1, nhr-8, and daf-16. Suppression of daf-16 by RNAi shortened the lifespan of C. elegans and inhibited the expression of sod-3, suggesting that BE may regulate sod-3 downstream of daf-16 to extend lifespan and stress resistance. Our findings revealed that, in C. elegans, BE can prolong the lifespan, improve health indexes, and enhance stress resistance."
9,The Plant journal : for cell and molecular biology ,10792824; ,"The mechanisms by which the maize antioxidant Cat1 gene responds to abscisic acid (ABA) and osmotic stress have been investigated. Results show that during late embryogenesis, Cat1 expression in vivo is independent of endogenous ABA levels. However, exogenously applied ABA significantly enhances Cat1 expression. Transient assays using particle bombardment show that the proximal ABRE2 element on the Cat1 promoter is responsible for the induction of Cat1 expression by ABA. We further show that ABA induces the expression of Cat1 via the interaction between ABRE2 and one of its binding proteins, CBF1 (Cat1 binding factor 1). Using ABA-deficient mutant embryos, we show that osmotic stress induces Cat1 expression through two alternate signal transduction pathways: an ABA signaling pathway leading to the interaction between the ABRE2 motif and CBF1, and a pathway via the interaction of ABRE2 and CBF2 (Cat1 binding factor 2) that is independent of ABA. The data presented clearly suggest that hydrogen peroxide (H2O2) plays an important intermediary role in the ABA signal transduction pathway leading to the induction of the Cat1 gene."
