Unnamed: 0,journal_title,pubmed,abstract
0,The New phytologist ,33095906; ,"The circadian clock plays essential roles in diverse plant biological processes, such as flowering, phytohormone biosynthesis and abiotic stress responses. The manner in which circadian clock genes regulate drought stress responses in model plants has been well established, but comparatively little is known in crop species, such as soybean, a major global crop. This paper reports that the core clock components GmLHYs, the orthologues of CCA1/LHY in Arabidopsis, negatively control drought tolerance in soybean. The expressions of four GmLHYs were all induced by drought, and the quadruple mutants of GmLHYs demonstrated significantly improved drought tolerance. Transcriptome profiling suggested that the abscisic acid (ABA) signaling pathway is regulated by GmLHYs to respond to drought tolerance. Genetic dissections showed that two homologous pairs of LHY1a and LHY1b redundantly control the drought response. Functional characterization of LHY1a and LHY1b in Arabidopsis and soybean further supported the notion that GmLHYs can maintain cellular homeostasis through the ABA signaling pathway under drought stress. This study improves our understanding of the underlying molecular mechanisms on soybean drought tolerance. Furthermore, the two homologues of LHY1a and LHY1b provide alternative targets for genome editing to rapidly generate mutant alleles in elite soybean cultivars to enhance their drought tolerance."
1,Journal of hematology & oncology ,34991659; ,"Tumor-associated macrophages (TAMs) are major components of the tumor microenvironment (TME) which are closely associated with the tumor malignant progression. However, the regulatory mechanisms by which TAMs influence the progression of triple-negative breast cancer (TNBC) remain unclear. Here, we report that hepatic leukemia factor (HLF) acts as a novel oncoprotein in TNBC. We found that HLF was regulated by transforming growth factor-beta1 (TGF-β1) that is secreted by TAMs. Then, HLF transactivated gamma-glutamyltransferase 1 (GGT1) to promote the ferroptosis resistance, thus driving TNBC cell proliferation, metastasis and cisplatin resistance. Reciprocally, IL-6 produced by TNBC cells activated the JAK2/STAT3 axis to induce TGF-β1 secretion by TAMs, thus constituted a feed-forward circuit. The accuracy of TNBC patient prognosis could be improved by employing a combination of HLF and GGT1 values. Thus, our findings document that the interactive dialogue between TNBC cells and TAMs promotes sustained activation of HLF in tumor cells through the IL-6-TGF-β1 axis. Subsequently, HLF promotes the ferroptosis resistance in TNBC cells via GGT1 and ultimately facilitates the malignant tumor progression. Our study provides a potential target for the treatment of TNBC."
2,BMJ (Clinical research ed.) ,30355567; ,
3,Plant communications ,35529947; ,"WRKY transcription factors are known mostly for their function in plant defense, abiotic stress responses, senescence, seed germination, and development of the pollen, embryo, and seed. Here, we report the regulatory functions of two WRKY proteins in photomorphogenesis and PIF4 expression. PIF4 is a critical signaling hub in light, temperature, and hormonal signaling pathways. Either its expression or its accumulation peaks in the morning and afternoon. WRKY2 and WRKY10 form heterodimers and recognize their target site in the PIF4 promoter near the MYB element that is bound by CCA1 and LHY under red and blue light. WRKY2 and WRKY10 interact directly with CCA1/LHY to enhance their targeting but interact indirectly with SHB1. The two WRKY proteins also interact with phyB, and their interaction enhances the targeting of CCA1 and LHY to the PIF4 promoter. SHB1 associates with the WRKY2 and WRKY10 loci and enhances their expression in parallel with the PIF4 expression peaks. This forward regulatory loop further sustains the accumulation of the two WRKY proteins and the targeting of CCA1/LHY to the PIF4 locus. In summary, interactions of two WRKY proteins with CCA1/LHY and phyB maintain an optimal expression level of PIF4 toward noon and afternoon, which is essential to sketch the circadian pattern of PIF4 expression."
4,Developmental cell ,12015957; ,Our understanding of plant circadian rhythms has been advanced by two papers investigating the roles of the transcription factors CCA1 and LHY in the circadian oscillator.
5,BMC plant biology ,34763664; ,"SEPALLATA3 (SEP3), which is conserved across various plant species, plays essential and various roles in flower and fruit development. However, the regulatory network of the role of SEP3 in flowering time at the molecular level remained unclear."
6,Plant physiology ,35567528; ,"Many plants, including Arabidopsis (Arabidopsis thaliana), accumulate starch in the daytime and remobilize it to support maintenance and growth at night. Starch accumulation is increased when carbon is in short supply, for example, in short photoperiods. Mobilization is paced to exhaust starch around dawn, as anticipated by the circadian clock. This diel pattern of turnover is largely robust against loss of day, dawn, dusk, or evening clock components. Here, we investigated diel starch turnover in the triple circadian clock mutant lhy cca1 elf3, which lacks the LATE ELONGATED HYPOCOTYL and the CIRCADIAN CLOCK-ASSOCIATED1 (CCA1) dawn components and the EARLY FLOWERING3 (ELF3) evening components of the circadian clock. The diel oscillations of transcripts for the remaining clock components and related genes like REVEILLE and PHYTOCHROME-INTERACING FACTOR family members exhibited attenuated amplitudes and altered peak time, weakened dawn dominance, and decreased robustness against changes in the external light-dark cycle. The triple mutant was unable to increase starch accumulation in short photoperiods. However, it was still able to pace starch mobilization to around dawn in different photoperiods and growth irradiances and to around 24 h after the previous dawn in T17 and T28 cycles. The triple mutant was able to slow down starch mobilization after a sudden low-light day or a sudden early dusk, although in the latter case it did not fully compensate for the lengthened night. Overall, there was a slight trend to less linear mobilization of starch. Thus, starch mobilization can be paced rather robustly to dawn despite a major disruption of the transcriptional clock. It is proposed that temporal information can be delivered from clock components or a semi-autonomous oscillator."
7,The Plant cell ,34931682; ,"Vernalization, a long-term cold-mediated acquisition of flowering competence, is critically regulated by VERNALIZATION INSENSITIVE 3 (VIN3), a gene induced by vernalization in Arabidopsis. Although the function of VIN3 has been extensively studied, how VIN3 expression itself is upregulated by long-term cold is not well understood. In this study, we identified a vernalization-responsive cis-element in the VIN3 promoter, VREVIN3, composed of a G-box and an evening element (EE). Mutations in either the G-box or the EE prevented VIN3 expression from being fully induced upon vernalization, leading to defects in the vernalization response. We determined that the core clock proteins CIRCADIAN CLOCK-ASSOCIATED 1 (CCA1) and LATE-ELONGATED HYPOCOTYL (LHY) associate with the EE of VREVIN3, both in vitro and in vivo. In a cca1 lhy double mutant background harboring a functional FRIGIDA allele, long-term cold-mediated VIN3 induction and acceleration of flowering were impaired, especially under mild cold conditions such as at 12°C. During prolonged cold exposure, oscillations of CCA1/LHY transcripts were altered, while CCA1 abundance increased at dusk, coinciding with the diurnal peak of VIN3 transcripts. We propose that modulation of the clock proteins CCA1 and LHY participates in the systems involved in sensing long-term cold for the activation of VIN3 transcription."
8,Developmental cell ,12015970; ,"Several genes are known to regulate circadian rhythms in Arabidopsis, but the identity of the central oscillator has not been established. LHY and CCA1 are related MYB-like transcription factors proposed to be closely involved. Here we demonstrate that, as shown previously for CCA1, inactivation of LHY shortens the period of circadian rhythms in gene expression and leaf movements. By constructing lhy cca1-1 double mutants, we show that LHY and CCA1 are partially redundant and essential for the maintenance of circadian rhythms in constant light. Under light/dark cycles the lhy cca1-1 plants show dramatically earlier phases of expression of GI and TOC1, genes associated with the generation of circadian rhythms and the promotion of LHY and CCA1 expression. We conclude that LHY and CCA1 appear to be negative regulatory elements required for central oscillator function."
9,The Plant cell ,35243508; ,
10,iScience ,32947126; ,"Brassinosteroids (BRs) regulate a variety of physiological processes in plants via extensive crosstalk with diverse biological signaling networks. Although BRs are known to reciprocally regulate circadian oscillation, the molecular mechanism underlying BR-mediated regulation of circadian clock remains unknown. Here, we demonstrate that the BR-activated transcription factor bri1-EMS-SUPPRESSOR 1 (BES1) integrates BR signaling into the circadian network in Arabidopsis. BES1 repressed expression of CIRCADIAN CLOCK-ASSOCIATED 1 (CCA1) and LATE ELONGATED HYPOCOTYL (LHY) at night by binding to their promoters, together with TOPLESS (TPL). The repression of CCA1 and LHY by BR treatment, which occurred during the night, was compromised in bes1-ko and tpl-8 mutants. Consistently, long-term treatment with BR shortened the circadian period, and BR-induced rhythmic shortening was impaired in bes1-ko and tpl-8 single mutants and in the cca1-1lhy-21 double mutant. Overall, BR signaling is conveyed to the circadian oscillator via the BES1/TPL-CCA1/LHY module, contributing to gating diurnal BR responses in plants."
11,iScience ,34622177; ,[This corrects the article DOI: 10.1016/j.isci.2020.101528.].
12,Nature genetics ,32231277; ,"Adaptive changes in plant phenology are often considered to be a feature of the so-called 'domestication syndrome' that distinguishes modern crops from their wild progenitors, but little detailed evidence supports this idea. In soybean, a major legume crop, flowering time variation is well characterized within domesticated germplasm and is critical for modern production, but its importance during domestication is unclear. Here, we identify sequential contributions of two homeologous pseudo-response-regulator genes, Tof12 and Tof11, to ancient flowering time adaptation, and demonstrate that they act via LHY homologs to promote expression of the legume-specific E1 gene and delay flowering under long photoperiods. We show that Tof12-dependent acceleration of maturity accompanied a reduction in dormancy and seed dispersal during soybean domestication, possibly predisposing the incipient crop to latitudinal expansion. Better understanding of this early phase of crop evolution will help to identify functional variation lost during domestication and exploit its potential for future crop improvement."
13,Plant molecular biology ,15988568; ,"Multiple photoreceptors contribute to the entrainment of the Arabidopsis circadian clock to daily cycles of light and darkness but little is known of the mechanisms by which these pathways affect the central oscillator. Here we investigate the epistatic interaction between DE-ETIOLATED 1 (DET1), a negative regulator of light-regulated gene expression, and LATE ELONGATED HYPOCOTYL (LHY), one of the core components of the circadian oscillator. The daily onset of LHY gene expression was advanced by approximately 4 h in det1-1 mutant plants, suggesting that the wild-type DET1 protein might function to repress its transcription during the subjective night. lhy-1 det1-1 double mutants exhibited arrhythmic expression of the CAB gene in constant light, similar to the lhy-1 mutant parent. However, additive effects of the lhy-1 and det1-1 mutations on CAB2 expression patterns were revealed under diurnal light-dark cycles. Since the lhy-1 mutation causes aberrant, constitutive transcription of LHY from a constitutive viral promoter, this observation indicated that effects of DET1 were not mediated through the regulation of LHY transcription. Furthermore, the light-driven, rhythmic accumulation of the LHY protein in the lhy-1 mutant was altered by the det1-1 mutation, suggesting that DET1 might regulate LHY expression at the post-transcriptional level. In vitro protein degradation assays demonstrated that the LHY protein is turned over rapidly through the proteasome pathway. Similar degradation was observed whether plant tissue was harvested during the light or dark portion of the diurnal cycle, but the process was significantly accelerated in det1-1 mutant extracts. These results indicate that the wild-type DET1 protein acts to inhibit the proteolytic turnover of the LHY protein, and suggest a mechanism for the period-shortening effect of the det1-1 mutation. These findings add to recent evidence suggesting a role for DET1 in a ubiquitination pathway and identify a substrate for DET1-regulated protein turn-over."
