Unnamed: 0,journal_title,pubmed,abstract,pmcid
2,Cells ,36497048; ,"Seed germination is essential for the colonization of the land plants. Light is a major environmental factor affecting seed germination, which is predominantly regulated by photoreceptor phytochrome B (PHYB). PHYB is activated by red light (designated as PHYB-on) whereas it is inactivated by far-red light (referred as PHYB-off). We previously reported that Arabidopsis histone deacetylase HDA15 interacts with phytochrome-interacting factor1 (PIF1) to repress seed germination under PHYB-off conditions. Here, we show that HDA15 plays a negative role in regulating seed germination under PHYB-on conditions. Overexpression of HDA15 in Arabidopsis restrains PHYB-dependent seed germination, while gibberellin (GA) relieves the repressive role of HDA15 under PHYB-off conditions. We further show that HDA15 directly binds to GA20ox1 and GA20ox2, two key GA biosynthesis genes and represses their expression by removal of histone H3 and H4 acetylation. Moreover, the levels of HDA15 transcript and HDA15 protein are up-regulated in the phyB mutant. Collectively, our work proposes that HDA15 acts as a negative regulator of PHYB-dependent seed germination by directly repressing GA20ox1/2 gene expression.",PMC9735612
3,Frontiers in plant science ,36161012; ,"Arabidopsis thaliana shows a wide range of natural genetic variation in light responses. Shade avoidance syndrome is a strategy of major adaptive significance that includes seed germination, elongation of vegetative structures, leaf hyponasty, and acceleration of flowering. Previously, we found that the southernmost Arabidopsis accession, collected in the south of Patagonia (Pat), is hyposensitive to light and displays a reduced response to shade light. This work aimed to explore the genetic basis of the shade avoidance response (SAR) for hypocotyl growth by QTL mapping in a recently developed 162 RIL population between Col-0 and Pat. We mapped four QTL for seedling hypocotyl growth: WL1 and WL2 QTL in white light, SHADE1 QTL in shade light, and SAR1 QTL for the SAR. PHYB is the strongest candidate gene for SAR1 QTL. Here we studied the function of two polymorphic indels in the promoter region, a GGGR deletion, and three non-synonymous polymorphisms on the PHYB coding region compared with the Col-0 reference genome. To decipher the contribution and relevance of each PHYB-Pat polymorphism, we constructed transgenic lines with single or double polymorphisms by using Col-0 as a reference genome. We found that single polymorphisms in the coding region of PHYB have discrete functions in seed germination, seedling development, and shade avoidance response. These results suggest distinct functions for each PHYB polymorphism to the adjustment of plant development to variable light conditions.",PMC9490419
4,EMBO reports ,34018302; ,"Iron (Fe) deficiency affects global crop productivity and human health. However, the role of light signaling in plant Fe uptake remains uncharacterized. Here, we find that light-induced Fe uptake in tomato (Solanum lycopersicum L.) is largely dependent on phytochrome B (phyB). Light induces the phyB-dependent accumulation of ELONGATED HYPOCOTYL 5 (HY5) protein both in the leaves and roots. HY5 movement from shoots to roots activates the expression of FER transcription factor, leading to the accumulation of transcripts involved in Fe uptake. Mutation in FER abolishes the light quality-induced changes in Fe uptake. The low Fe uptake observed in phyB, hy5, and fer mutants is accompanied by lower photosynthetic electron transport rates. Exposure to red light at night increases Fe accumulation in wild-type fruit but has little effects on fruit of phyB mutants. Taken together, these results demonstrate that Fe uptake is systemically regulated by light in a phyB-HY5-FER-dependent manner. These findings provide new insights how the manipulation of light quality could be used to improve Fe uptake and hence the nutritional quality of crops.",PMC8406400
6,Frontiers in plant science ,35222493; ,"Light-triggered transcriptome reprogramming is critical for promoting photomorphogenesis in Arabidopsis seedlings. Nonetheless, recent studies have shed light on the importance of alternative pre-mRNA splicing (AS) in photomorphogenesis. The splicing factors splicing factor for phytochrome signaling (SFPS) and reduced red-light responses in cry1cry2 background1 (RRC1) are involved in the phytochrome B (phyB) signaling pathway and promote photomorphogenesis by controlling pre-mRNA splicing of light- and clock-related genes. However, splicing factors that serve as repressors in phyB signaling pathway remain unreported. Here, we report that the splicing factor SWELLMAP 2 (SMP2) suppresses photomorphogenesis in the light. SMP2 physically interacts with phyB and colocalizes with phyB in photobodies after light exposure. Genetic analyses show that SMP2 antagonizes phyB signaling to promote hypocotyl elongation in the light. The homologs of SMP2 in yeast and human belong to second-step splicing factors required for proper selection of the 3' splice site (3'SS) of an intron. Notably, SMP2 reduces the abundance of the functional REVEILLE 8 a (RVE8a) form, probably by determining the 3'SS, and thereby inhibits RVE8-mediated transcriptional activation of clock genes containing evening elements (EE). Finally, SMP2-mediated reduction of functional RVE8 isoform promotes phytochrome interacting factor 4 (PIF4) expression to fine-tune hypocotyl elongation in the light. Taken together, our data unveil a phyB-interacting splicing factor that negatively regulates photomorphogenesis, providing additional information for further mechanistic investigations regarding phyB-controlled AS of light- and clock-related genes.",PMC8867171
11,aBIOTECH ,36304757; ,"phytochrome B (phyB) acts as the red light photoreceptor and negatively regulates the growth-promoting factor PHYTOCHROME INTERACTING 4 (PIF4) through a direct physical interaction, which in turn changes the expression of a large number of genes. phyB-PIF4 module regulates a variety of biological and developmental processes in plants. In this study, we demonstrate that B-BOX PROTEIN 11 (BBX11) physically interacts with both phyB and PIF4. BBX11 negatively regulates PIF4 accumulation as well as its biochemical activity, consequently leading to the repression of PIF4-controlled genes' expression and promotion of photomorphogenesis in the prolonged red light. This study reveals a regulatory mechanism that mediates red light signal transduction and sheds a light on phyB-PIF4 module in promoting red light-dependent photomorphognenesis.",PMC9590482
12,Nature communications ,31527679; ,"CONSTITUTIVELY PHOTOMORPHOGENIC1 (COP1) is a highly conserved E3 ubiquitin ligase from plants to animals and acts as a central repressor of photomorphogenesis in plants. SUPPRESSOR OF PHYA-105 1 family members (SPA1-SPA4) directly interact with COP1 and enhance COP1 activity. Despite the presence of a kinase domain at the N-terminus, no COP1-independent role of SPA proteins has been reported. Here we show that SPA1 acts as a serine/threonine kinase and directly phosphorylates PIF1 in vitro and in vivo. SPAs are necessary for the light-induced phosphorylation, ubiquitination and subsequent degradation of PIF1. Moreover, the red/far-red light photoreceptor phyB interacts with SPA1 through its C-terminus and enhances the recruitment of PIF1 for phosphorylation. These data provide a mechanistic view on how the COP1-SPA complexes serve as an example of a cognate kinase-E3 ligase complex that selectively triggers rapid phosphorylation and removal of its substrates, and how phyB modulates this process to promote photomorphogenesis.",PMC6746701
13,Nature ,35355010; ,"Many aspects of plant photoperception are mediated by the phytochrome (Phy) family of bilin-containing photoreceptors that reversibly interconvert between inactive Pr and active Pfr conformers1,2. Despite extensive biochemical studies, full understanding of plant Phy signalling has remained unclear due to the absence of relevant 3D models. Here we report a cryo-electron microscopy structure of Arabidopsis PhyB in the Pr state that reveals a topologically complex dimeric organization that is substantially distinct from its prokaryotic relatives. Instead of an anticipated parallel architecture, the C-terminal histidine-kinase-related domains (HKRDs) associate head-to-head, whereas the N-terminal photosensory regions associate head-to-tail to form a parallelogram-shaped platform with near two-fold symmetry. The platform is internally linked by the second of two internal Per/Arnt/Sim domains that binds to the photosensory module of the opposing protomer and a preceding 'modulator' loop that assembles tightly with the photosensory module of its own protomer. Both connections accelerate the thermal reversion of Pfr back to Pr, consistent with an inverse relationship between dimer assembly and Pfr stability. Lopsided contacts between the HKRDs and the platform create profound asymmetry to PhyB that might imbue distinct signalling potentials to the protomers. We propose that this unique structural dynamism creates an extensive photostate-sensitive surface for conformation-dependent interactions between plant Phy photoreceptors and their signalling partners.",PMC9930725
14,Nature communications ,32103019; ,"In plants, an elevation in ambient temperature induces adaptive morphological changes including elongated hypocotyls, which is predominantly regulated by a bHLH transcription factor, PIF4. Although PIF4 is expressed in all aerial tissues including the epidermis, mesophyll, and vascular bundle, its tissue-specific functions in thermomorphogenesis are not known. Here, we show that epidermis-specific expression of PIF4 induces constitutive long hypocotyls, while vasculature-specific expression of PIF4 has no effect on hypocotyl growth. RNA-Seq and qRT-PCR analyses reveal that auxin-responsive genes and growth-related genes are highly activated by epidermal, but not by vascular, PIF4. Additionally, inactivation of epidermal PIF4 or auxin signaling, and overexpression of epidermal phyB suppresses thermoresponsive growth, indicating that epidermal PIF4-auxin pathways are essential for the temperature responses. Further, we show that high temperatures increase both epidermal PIF4 transcription and the epidermal PIF4 DNA-binding ability. Taken together, our study demonstrates that the epidermis regulates thermoresponsive growth through the phyB-PIF4-auxin pathway.",PMC7044213
16,"Development (Cambridge, England) ",32994167; ,"High ambient temperature attributable to global warming has a profound influence on plant growth and development at all stages of the life cycle. The response of plants to high ambient temperature, termed thermomorphogenesis, is characterized by hypocotyl and petiole elongation and hyponastic growth at the seedling stage. However, our understanding of the molecular mechanism of thermomorphogenesis is still rudimentary. Here, we show that a set of four SUPPRESSOR OF PHYA-105 (SPA) genes is required for thermomorphogenesis. Consistently, SPAs are necessary for global changes in gene expression in response to high ambient temperature. In the spaQ mutant at high ambient temperature, the level of SPA1 is unaffected, whereas the thermosensor phytochrome B (phyB) is stabilized. Furthermore, in the absence of four SPA genes, the pivotal transcription factor PIF4 fails to accumulate, indicating a role of SPAs in regulating the phyB-PIF4 module at high ambient temperature. SPA1 directly phosphorylates PIF4 in vitro, and a mutant SPA1 affecting the kinase activity fails to rescue the PIF4 level in addition to the thermo-insensitive phenotype of spaQ, suggesting that the SPA1 kinase activity is necessary for thermomorphogenesis. Taken together, these data suggest that SPAs are new components that integrate light and temperature signaling by fine-tuning the phyB-PIF4 module.",PMC7561471
17,BMC plant biology ,32600268; ,"Photoperiod signals provide important cues by which plants regulate their growth and development in response to predictable seasonal changes. Phytochromes, a family of red and far-red light receptors, play critical roles in regulating flowering time in response to changing photoperiods. A previous study showed that loss-of-function mutations in either PHYB or PHYC result in large delays in heading time and in the differential regulation of a large number of genes in wheat plants grown in an inductive long day (LD) photoperiod.",PMC7325275
