,PMCID
0,6635650
1,3655193
2,2927797
3,5662351
4,4001340
5,4467608
6,3591139
7,8753655
8,8004765
9,7230842
10,3321180
11,8112959
12,5976920
13,5979462
14,7369859
15,2882159
16,8411967
17,4944361
18,9069779
19,6878918
20,3809929
21,4376805
22,9220060
23,8229802
24,9072917
25,6410507
26,6926644
27,1735476
28,5043233
29,2547143
30,4033952
31,2888043
32,2656464
33,9003865
34,3732391
35,8799388
36,6936319
37,8912540
38,8293920
39,7766236
40,7765706
41,7072742
42,6818578
43,5204072
44,4451313
45,4687042
46,8619366
47,8292762
48,9412030
49,9553775
50,9368664
51,7537899
52,7395987
53,7226977
54,7283181
55,8273304
56,8067483
57,6738403
58,6438132
59,8067893
60,7675000
61,7299387
62,7185115
63,6087821
64,5990020
65,6961202
66,6795132
67,6589276
68,6348549
69,6476827
70,5746328
71,5593964
72,5485955
73,5309574
74,5253194
75,6073363
76,6019381
77,3260257
78,5096035
79,4833787
80,4815211
81,6347103
82,5373140
83,4509908
84,4484261
85,4401149
86,5127755
87,4841955
88,4778736
89,4372331
90,4394327
91,2771813
92,3525266
93,3929639
94,3976931
95,4014555
96,3921821
97,3513202
98,4217733
99,2977068
