,PMCID
0,6594445
1,9398136
2,8087773
3,7779560
4,5059882
5,7749041
6,6368462
7,4916053
8,6969214
9,8474785
10,8942629
11,7218141
12,9884297
13,9351520
14,7409373
15,9964439
16,4817174
17,9456563
18,5628761
19,7797038
20,5070732
21,5076509
22,6738421
23,6212499
24,7862641
25,5376641
26,5595787
27,3031169
28,3943321
29,4719035
30,6146831
31,2767504
32,7613935
33,5045964
34,2773024
35,4271223
36,4010198
37,3919425
38,83877
39,8815403
40,1525158
41,4865862
42,7990718
43,2837401
44,8038991
45,3390678
46,8745564
47,7817205
48,4135399
49,3418387
50,2582055
51,4126752
52,1173364
53,3288401
54,5103369
55,6275081
56,6433082
57,548845
58,4246273
59,3171647
60,1413915
61,2854093
62,3640747
63,2649959
64,9896158
65,4503932
66,1257735
67,4692092
68,6670102
69,8685671
70,6580163
71,8078769
72,9556833
73,5244987
74,5106811
75,2878062
76,3373405
77,3293596
78,3943301
79,9939144
80,6984588
81,6550304
82,4391041
83,5866579
84,2528026
85,4161967
86,2726413
87,4490096
88,9406916
89,3381163
90,2224235
91,6589809
92,7757669
93,7773854
94,3227866
95,3390858
96,4481237
97,8358657
98,5083111
99,7245096
