,PMCID
0,2030606
1,5064798
2,1449556
3,5779723
4,9274135
5,4750992
6,2906338
7,6740731
8,334166
9,7443904
10,7289054
11,317528
12,5532773
13,4856626
14,2871462
15,3871224
16,6181777
17,3193590
18,100061
19,2583534
20,8182650
21,5821608
22,9491583
23,4398408
24,5473764
25,4879990
26,334100
27,6594098
28,5730719
29,5685291
30,4324908
31,1569731
32,2672114
33,1168576
34,3917370
35,2964119
36,1933262
37,4629278
38,5469610
39,9332270
40,9231783
41,8904057
42,9804849
43,8700663
44,8395189
45,7938456
46,7725594
47,7707838
48,5977520
49,5978988
50,5951612
51,6019634
52,5397019
53,5386856
54,8761801
55,4968014
56,4955688
57,4442872
58,7600552
59,7397035
60,7566881
61,7314034
62,2630305
63,6224518
64,6072440
65,5844321
66,5656615
67,5614221
68,5371657
69,4831757
70,523752
71,9151424
72,3718802
73,361146
74,2675152
75,317187
76,4147901
77,2775344
78,168383
79,1817638
80,3979608
81,3220623
82,2820788
83,2690403
84,3511429
85,1594591
86,3285182
87,2991262
88,1190364
89,2573020
90,3795420
91,7089108
92,2825491
93,2998304
94,4082703
95,148535
96,6271126
97,3397320
98,3215061
99,102566
