,PMCID
0,9348821
1,6447011
2,9073327
3,8894950
4,4875590
5,6033173
6,9585842
7,6629618
8,4666590
9,7958436
10,6141573
11,6001645
12,6565938
13,7502351
14,6237806
15,4826007
16,8982390
17,8582215
18,6399392
19,9516744
20,3204374
21,4981127
22,145435
23,5134976
24,4632509
25,8143237
26,3260714
27,6033021
28,2613671
29,1931532
30,8408442
31,3516852
32,7020484
33,6423321
34,9695588
35,6563356
36,6892391
37,3015110
38,3336117
39,5147715
40,4479757
41,6283155
42,3060684
43,4534231
44,3321525
45,4742534
46,1681447
47,3028277
48,2964123
49,3887839
50,2861452
51,3084081
52,6142266
53,22922
54,1456873
55,2768935
56,197310
57,3082275
58,3675028
59,1167542
60,3286946
61,3784587
62,4145118
63,4280891
64,161679
65,8664901
66,8440769
67,2757846
68,3610657
69,2689956
70,2889127
71,3403997
72,3406914
73,9065898
74,2862424
75,1682024
76,6721690
77,7466579
78,2867782
79,8762054
80,4444181
81,1913727
82,2689986
83,6565941
84,6921449
85,2634215
86,9883883
87,6878007
88,5737478
89,3032475
90,22440
91,2652257
92,5065627
93,6839374
94,8745339
95,3614443
96,9783919
97,6380273
98,1682023
99,4366336
