,PMCID
0,4587463
1,9626757
2,7846189
3,6264644
4,9477381
5,8313132
6,5063974
7,4593317
8,5747486
9,4488670
10,8024709
11,7948173
12,9250500
13,6411840
14,7101862
15,146987
16,7317150
17,3315315
18,6482504
19,2676936
20,2759717
21,3881551
22,2933818
23,3772206
24,3316453
25,6923311
26,6491584
27,5682324
28,9364935
29,9201290
30,9510866
31,8431385
32,7038167
33,7241873
34,5870584
35,5393063
36,5905169
37,4495043
38,3581409
39,2788817
40,9324612
41,9335411
42,8540941
43,6365379
44,4945461
45,4747774
46,4453067
47,3266004
48,3339591
49,3834072
50,3819426
51,3484153
52,231824
