,PMCID
0,6746701
1,5462004
2,6925995
3,9614508
4,9490419
5,5712524
6,4568247
7,8417825
8,9590482
9,7325275
10,6606753
11,4815090
12,6488296
13,6048787
14,5155346
15,7346557
16,8867171
17,4915087
18,5527001
19,6590796
20,6486730
21,5098793
22,7271779
23,9005995
24,8406400
25,5738371
26,4755757
27,8179155
28,8418400
29,7327500
30,8897165
31,4490439
32,8460787
33,8905361
34,7125078
35,9390991
36,8448934
37,4448008
38,9148924
39,9930725
40,4775132
41,9735612
42,7262469
43,7561471
44,6961613
45,8964797
46,8438518
47,5820651
48,6751115
49,8707292
50,7167218
51,6329817
52,9700123
53,8143258
54,7044213
55,8197431
56,4536196
57,9073327
58,9424238
59,3207837
60,5183628
61,7184922
62,6997687
63,4623682
64,5651913
65,7333703
66,5692546
67,5140706
68,3218029
69,7842835
70,4987513
71,58949
72,5437280
73,5155487
74,8195427
75,6864062
76,9963521
77,9516731
78,9856397
79,7398796
80,34855
81,5973844
82,5123409
83,6790650
84,6850590
85,6151947
86,5655028
87,5113904
88,7193831
89,64903
90,3355348
91,166755
92,4419654
93,2276449
94,2929111
95,6399385
96,8465259
97,16688
98,5486017
99,6570650
