,PMCID
0,4134368
1,3546434
2,2785768
3,312091
4,2446797
5,3662779
6,7093118
7,9537460
8,16560
9,8477392
10,14625
11,1635044
12,3660369
13,3922155
14,7874212
15,307088
16,6874613
17,4616171
18,8101360
19,203968
20,6797219
21,6836826
22,7877770
23,6554431
24,5691223
25,3889737
26,413770
27,411625
28,2832520
29,1135800
30,2910629
31,2651015
32,3310775
33,3278429
34,3744074
35,38828
36,2585142
37,4248873
38,2587482
39,3027172
40,7759848
41,6979042
42,6100978
43,5796208
44,4891635
45,7909428
46,9551401
47,8364238
48,206573
49,5908139
50,6803311
51,6874737
52,5701936
53,5613712
54,5636819
55,1858663
56,4625145
57,215964
58,310391
59,3336846
60,134796
61,149619
62,105231
63,40933
64,430900
65,3931912
66,3279804
67,2789578
68,3680342
69,523756
70,365520
71,3907308
72,334375
73,378312
74,330910
75,7598717
76,5056187
