,authors,ArticleTitle,journal_title,volume,date,pubmed,doi_pii_str,abstract
0,"B. Jiang, Y. Shi, Y. Peng, Y. Jia, Y. Yan, X. Dong, H. Li, J. Dong, J. Li, Z. Gong, MF. Thomashow and S. Yang, ","""Cold-Induced CBF-PIF3 Interaction Enhances Freezing Tolerance by Stabilizing the phyB Thermosensor in Arabidopsis."", ",Molecular plant ,13(6) ,(Jun. 2020). ,PUBMED: 32311530; ,DOI 10.1016/j.molp.2020.04.006.,"Growth inhibition and cold-acclimation strategies help plants withstand cold stress, which adversely affects growth and survival. PHYTOCHROME B (phyB) regulates plant growth through perceiving both light and ambient temperature signals. However, the mechanism by which phyB mediates the plant response to cold stress remains elusive. Here, we show that the key transcription factors mediating cold acclimation, C-REPEAT BINDING FACTORs (CBFs), interact with PHYTOCHROME-INTERACTING FACTOR 3 (PIF3) under cold stress, thus attenuating the mutually assured destruction of PIF3-phyB. Cold-stabilized phyB acts downstream of CBFs to positively regulate freezing tolerance by modulating the expression of stress-responsive and growth-related genes. Consistent with this, phyB mutants exhibited a freezing-sensitive phenotype, whereas phyB-overexpression transgenic plants displayed enhanced freezing tolerance. Further analysis showed that the PIF1, PIF4, and PIF5 proteins, all of which negatively regulate plant freezing tolerance, were destabilized by cold stress in a phytochrome-dependent manner. Collectively, our study reveals that CBFs-PIF3-phyB serves as an important regulatory module for modulating plant response to cold stress."
1,"Z. Mao, S. He, F. Xu, X. Wei, L. Jiang, Y. Liu, W. Wang, T. Li, P. Xu, S. Du, L. Li, H. Lian, T. Guo and HQ. Yang, ","""Photoexcited CRY1 and phyB interact directly with ARF6 and ARF8 to regulate their DNA-binding activity and auxin-induced hypocotyl elongation in Arabidopsis."", ",The New phytologist ,225(2) ,(Jan. 2020). ,PUBMED: 31514232; ,DOI 10.1111/nph.16194.,"Arabidopsis CRY1 and phyB are the primary blue and red light photoreceptors mediating blue and red light inhibition of hypocotyl elongation, respectively. Auxin is a pivotal phytohormone involved in promoting hypocotyl elongation. CRY1 and phyB interact with and stabilize auxin/indole acetic acid proteins (Aux/IAAs) to inhibit auxin signaling. The present study investigated whether photoreceptors might interact directly with Auxin Response Factors (ARFs) to regulate auxin signaling. Protein-protein interaction studies demonstrated that CRY1 and phyB interact physically with ARF6 and ARF8 through their N-terminal domains in a blue and red light-dependent manner, respectively. Moreover, the N-terminal DNA-binding domain of ARF6 and ARF8 is involved in mediating their interactions with CRY1. Genetic studies showed that ARF6 and ARF8 act partially downstream from CRY1 and PHYB to regulate hypocotyl elongation under blue and red light, respectively. Chromatin immunoprecipitation-PCR assays demonstrated that CRY1 and phyB mediate blue and red light repression of the DNA-binding activity of ARF6 and ARF6-target gene expression, respectively. Altogether, the results herein suggest that the direct repression of auxin-responsive gene expression mediated by the interactions of CRY1 and phyB with ARFs constitutes a new layer of the regulatory mechanisms by which light inhibits auxin-induced hypocotyl elongation."
2,"F. Zheng, Y. Wang, D. Gu and X. Liu, ","""Histone Deacetylase HDA15 Restrains PHYB-Dependent Seed Germination via Directly Repressing GA20ox1/2 Gene Expression."", ",Cells ,11(23) ,(Nov. 2022). ,PUBMED: 36497048; ,DOI 10.3390/cells11233788.,"Seed germination is essential for the colonization of the land plants. Light is a major environmental factor affecting seed germination, which is predominantly regulated by photoreceptor phytochrome B (PHYB). PHYB is activated by red light (designated as PHYB-on) whereas it is inactivated by far-red light (referred as PHYB-off). We previously reported that Arabidopsis histone deacetylase HDA15 interacts with phytochrome-interacting factor1 (PIF1) to repress seed germination under PHYB-off conditions. Here, we show that HDA15 plays a negative role in regulating seed germination under PHYB-on conditions. Overexpression of HDA15 in Arabidopsis restrains PHYB-dependent seed germination, while gibberellin (GA) relieves the repressive role of HDA15 under PHYB-off conditions. We further show that HDA15 directly binds to GA20ox1 and GA20ox2, two key GA biosynthesis genes and represses their expression by removal of histone H3 and H4 acetylation. Moreover, the levels of HDA15 transcript and HDA15 protein are up-regulated in the phyB mutant. Collectively, our work proposes that HDA15 acts as a negative regulator of PHYB-dependent seed germination by directly repressing GA20ox1/2 gene expression."
3,"JH. Jung, M. Domijan, C. Klose, S. Biswas, D. Ezer, M. Gao, AK. Khattak, MS. Box, V. Charoensawan, S. Cortijo, M. Kumar, A. Grant, JC. Locke, E. Schäfer, KE. Jaeger and PA. Wigge, ","""Phytochromes function as thermosensors in Arabidopsis."", ","Science (New York, N.Y.) ",354(6314) ,(Nov. 2016). ,PUBMED: 27789797; ,,"Plants are responsive to temperature, and some species can distinguish differences of 1°C. In Arabidopsis, warmer temperature accelerates flowering and increases elongation growth (thermomorphogenesis). However, the mechanisms of temperature perception are largely unknown. We describe a major thermosensory role for the phytochromes (red light receptors) during the night. Phytochrome null plants display a constitutive warm-temperature response, and consistent with this, we show in this background that the warm-temperature transcriptome becomes derepressed at low temperatures. We found that phytochrome B (phyB) directly associates with the promoters of key target genes in a temperature-dependent manner. The rate of phyB inactivation is proportional to temperature in the dark, enabling phytochromes to function as thermal timers that integrate temperature information over the course of the night."
4,"T. Yan, Y. Heng, W. Wang, J. Li and XW. Deng, ","""SWELLMAP 2, a phyB-Interacting Splicing Factor, Negatively Regulates Seedling Photomorphogenesis in Arabidopsis."", ",Frontiers in plant science ,13 ,(2022). ,PUBMED: 35222493; ,DOI 10.3389/fpls.2022.836519.,"Light-triggered transcriptome reprogramming is critical for promoting photomorphogenesis in Arabidopsis seedlings. Nonetheless, recent studies have shed light on the importance of alternative pre-mRNA splicing (AS) in photomorphogenesis. The splicing factors splicing factor for phytochrome signaling (SFPS) and reduced red-light responses in cry1cry2 background1 (RRC1) are involved in the phytochrome B (phyB) signaling pathway and promote photomorphogenesis by controlling pre-mRNA splicing of light- and clock-related genes. However, splicing factors that serve as repressors in phyB signaling pathway remain unreported. Here, we report that the splicing factor SWELLMAP 2 (SMP2) suppresses photomorphogenesis in the light. SMP2 physically interacts with phyB and colocalizes with phyB in photobodies after light exposure. Genetic analyses show that SMP2 antagonizes phyB signaling to promote hypocotyl elongation in the light. The homologs of SMP2 in yeast and human belong to second-step splicing factors required for proper selection of the 3' splice site (3'SS) of an intron. Notably, SMP2 reduces the abundance of the functional REVEILLE 8 a (RVE8a) form, probably by determining the 3'SS, and thereby inhibits RVE8-mediated transcriptional activation of clock genes containing evening elements (EE). Finally, SMP2-mediated reduction of functional RVE8 isoform promotes phytochrome interacting factor 4 (PIF4) expression to fine-tune hypocotyl elongation in the light. Taken together, our data unveil a phyB-interacting splicing factor that negatively regulates photomorphogenesis, providing additional information for further mechanistic investigations regarding phyB-controlled AS of light- and clock-related genes."
5,"MJ. Ruiz-Diaz, D. Matsusaka, J. Cascales, DH. Sánchez, M. Sánchez-Lamas, PD. Cerdán and JF. Botto, ","""Functional analysis of PHYB polymorphisms in Arabidopsis thaliana collected in Patagonia."", ",Frontiers in plant science ,13 ,(2022). ,PUBMED: 36161012; ,DOI 10.3389/fpls.2022.952214.,"Arabidopsis thaliana shows a wide range of natural genetic variation in light responses. Shade avoidance syndrome is a strategy of major adaptive significance that includes seed germination, elongation of vegetative structures, leaf hyponasty, and acceleration of flowering. Previously, we found that the southernmost Arabidopsis accession, collected in the south of Patagonia (Pat), is hyposensitive to light and displays a reduced response to shade light. This work aimed to explore the genetic basis of the shade avoidance response (SAR) for hypocotyl growth by QTL mapping in a recently developed 162 RIL population between Col-0 and Pat. We mapped four QTL for seedling hypocotyl growth: WL1 and WL2 QTL in white light, SHADE1 QTL in shade light, and SAR1 QTL for the SAR. PHYB is the strongest candidate gene for SAR1 QTL. Here we studied the function of two polymorphic indels in the promoter region, a GGGR deletion, and three non-synonymous polymorphisms on the PHYB coding region compared with the Col-0 reference genome. To decipher the contribution and relevance of each PHYB-Pat polymorphism, we constructed transgenic lines with single or double polymorphisms by using Col-0 as a reference genome. We found that single polymorphisms in the coding region of PHYB have discrete functions in seed germination, seedling development, and shade avoidance response. These results suggest distinct functions for each PHYB polymorphism to the adjustment of plant development to variable light conditions."
6,"J. Wu, W. Wang, P. Xu, J. Pan, T. Zhang, Y. Li, G. Li, H. Yang and H. Lian, ","""phyB Interacts with BES1 to Regulate Brassinosteroid Signaling in Arabidopsis."", ",Plant & cell physiology ,60(2) ,(Feb. 2019). ,PUBMED: 30388258; ,DOI 10.1093/pcp/pcy212.,"Light is an important environmental factor, which mainly inhibits hypocotyl elongation through various photoreceptors. In contrast, brassinosteroids (BRs) are major hypocotyl elongation-promoting hormones in plants, which could optimize photomorphogenesis concurrent with external light. However, the precise molecular mechanisms underlying the antagonism of light and BR signaling remain largely unknown. Here we show that the Arabidopsis red light receptor phyB is involved in inhibition of BR signaling via its direct interaction with the BR transcription factor BES1. In our study, the phyB mutant displays BR hypersensitivity, which is repressed in transgenic plants overexpressing phyB, suggesting that phyB negatively regulates the BR signaling pathway. In addition, protein interaction results show that phyB directly interacts with dephosphorylated BES1, the physiologically active form of BES1 induced by BR, in a red light-dependent manner. Genetic analyses suggest that phyB may act partially through BES1 to regulate BR signaling. Transcriptomic data and quantitative real-time PCR assay further show that phyB-mediated red light inhibits BR signaling by repressing expression of BES1 target genes, including the BR biosynthesis genes DWF4, the SAUR family and the PRE family genes required for promoting cell elongation. Finally, we found that red light treatment inhibits the DNA-binding activity of BES1 and photoactivated phyB represses the transcriptional activity of BES1 under red light. Taken together, we suggest that the interaction of phyB with dephosphorylated BES1 may allow plants to balance light and BR signaling by repressing transcriptional activity of BES1 to regulate expression of its target genes."
7,"Z. Guo, J. Xu, Y. Wang, C. Hu, K. Shi, J. Zhou, X. Xia, Y. Zhou, CH. Foyer and J. Yu, ","""The phyB-dependent induction of HY5 promotes iron uptake by systemically activating FER expression."", ",EMBO reports ,22(7) ,(Jul. 2021). ,PUBMED: 34018302; ,DOI 10.15252/embr.202051944.,"Iron (Fe) deficiency affects global crop productivity and human health. However, the role of light signaling in plant Fe uptake remains uncharacterized. Here, we find that light-induced Fe uptake in tomato (Solanum lycopersicum L.) is largely dependent on phytochrome B (phyB). Light induces the phyB-dependent accumulation of ELONGATED HYPOCOTYL 5 (HY5) protein both in the leaves and roots. HY5 movement from shoots to roots activates the expression of FER transcription factor, leading to the accumulation of transcripts involved in Fe uptake. Mutation in FER abolishes the light quality-induced changes in Fe uptake. The low Fe uptake observed in phyB, hy5, and fer mutants is accompanied by lower photosynthetic electron transport rates. Exposure to red light at night increases Fe accumulation in wild-type fruit but has little effects on fruit of phyB mutants. Taken together, these results demonstrate that Fe uptake is systemically regulated by light in a phyB-HY5-FER-dependent manner. These findings provide new insights how the manipulation of light quality could be used to improve Fe uptake and hence the nutritional quality of crops."
8,"D. Xu and XW. Deng, ","""CBF-phyB-PIF Module Links Light and Low Temperature Signaling."", ",Trends in plant science ,25(10) ,(Oct. 2020). ,PUBMED: 32682648; ,DOI 10.1016/j.tplants.2020.06.010.,"Light and low temperatures are two key environmental cues mediating plant growth and development. Two recent studies (Jiang et al. and Dong et al.) provide novel insights into the underlying mechanisms, showing that the photoreceptor and thermosensor phyB and the transcription factors PIFs and CBFs form sophisticated regulatory networks that orchestrate light and cold signaling in plants."
9,"M. Legris, C. Klose, ES. Burgie, CC. Rojas, M. Neme, A. Hiltbrunner, PA. Wigge, E. Schäfer, RD. Vierstra and JJ. Casal, ","""Phytochrome B integrates light and temperature signals in Arabidopsis."", ","Science (New York, N.Y.) ",354(6314) ,(Nov. 2016). ,PUBMED: 27789798; ,,"Ambient temperature regulates many aspects of plant growth and development, but its sensors are unknown. Here, we demonstrate that the phytochrome B (phyB) photoreceptor participates in temperature perception through its temperature-dependent reversion from the active Pfr state to the inactive Pr state. Increased rates of thermal reversion upon exposing Arabidopsis seedlings to warm environments reduce both the abundance of the biologically active Pfr-Pfr dimer pool of phyB and the size of the associated nuclear bodies, even in daylight. Mathematical analysis of stem growth for seedlings expressing wild-type phyB or thermally stable variants under various combinations of light and temperature revealed that phyB is physiologically responsive to both signals. We therefore propose that in addition to its photoreceptor functions, phyB is a temperature sensor in plants."
